season_id,game_type_id,team,conference,division,league_standing,conf_standing,div_standing,games_played,goal_diff,goal_diff_pctg,goals_against,goals_for,goals_for_pctg,losses,ot_losses,points_pctg,points,reg_wins,reg_ot_wins,reg_win_pctg,so_losses,so_wins,win_pctg,wins,home_goal_diff,home_goals_against,home_goals_for,home_losses,home_ot_losses,home_points,home_reg_wins,home_reg_ot_wins,home_wins,road_goal_diff,road_goals_against,road_goals_for,road_losses,road_ot_losses,road_points,road_reg_wins,road_reg_ot_wins,road_wins
20232024,2,NSH,Western,Central,11,6,4,82,21,0.256,248,269,3.280,30,5,0.604,99,38,44,0.463,0,3,0.573,47,9,126,135,16,2,48,18,23,23,12,122,134,14,3,51,20,21,24
20232024,2,LAK,Western,Pacific,12,7,3,82,41,0.500,215,256,3.122,27,11,0.604,99,37,42,0.451,5,2,0.537,44,29,104,133,12,7,51,18,21,22,12,111,123,15,4,48,19,21,22
20232024,2,TBL,Eastern,Atlantic,13,6,4,82,23,0.280,268,291,3.549,29,8,0.598,98,37,42,0.451,1,3,0.549,45,32,125,157,11,5,55,21,24,25,-9,143,134,18,3,43,16,18,20
20232024,2,VGK,Western,Pacific,14,8,4,82,22,0.268,245,267,3.256,29,8,0.598,98,34,41,0.415,2,4,0.549,45,34,104,138,12,2,56,21,24,27,-12,141,129,17,6,42,13,17,18
20232024,2,NYI,Eastern,Metropolitan,15,7,3,82,-17,-0.207,263,246,3.000,27,16,0.573,94,29,38,0.354,5,1,0.476,39,-2,127,125,10,10,52,16,21,21,-15,136,121,17,6,42,13,17,18
20232024,2,STL,Western,Central,16,9,5,82,-11,-0.134,250,239,2.915,33,6,0.561,92,31,38,0.378,2,5,0.524,43,14,117,131,14,2,52,20,23,25,-25,133,108,19,4,40,11,15,18
20232024,2,WSH,Eastern,Metropolitan,17,8,4,82,-37,-0.451,257,220,2.683,31,11,0.555,91,32,36,0.390,5,4,0.488,40,-4,122,118,12,7,51,16,19,22,-33,135,102,19,4,40,16,17,18
20232024,2,DET,Eastern,Atlantic,18,9,5,82,4,0.049,274,278,3.390,32,9,0.555,91,27,38,0.329,1,3,0.500,41,24,124,148,13,5,51,17,22,23,-20,150,130,19,4,40,10,16,18
20232024,2,PIT,Eastern,Metropolitan,19,10,5,82,4,0.049,251,255,3.110,32,12,0.537,88,32,36,0.390,3,2,0.463,38,11,121,132,14,4,50,20,22,23,-7,130,123,18,8,38,12,14,15
20232024,2,MIN,Western,Central,20,10,6,82,-12,-0.146,263,251,3.061,34,9,0.530,87,32,36,0.390,3,3,0.476,39,-4,131,127,16,5,45,15,17,20,-8,132,124,18,4,42,17,19,19
20232024,2,PHI,Eastern,Metropolitan,21,11,6,82,-26,-0.317,261,235,2.866,33,11,0.530,87,30,34,0.366,3,4,0.463,38,-13,125,112,17,4,44,16,18,20,-13,136,123,16,7,43,14,16,18
20232024,2,BUF,Eastern,Atlantic,22,12,6,82,2,0.024,244,246,3.000,37,6,0.512,84,33,37,0.402,1,2,0.476,39,10,115,125,19,1,43,17,19,21,-8,129,121,18,5,41,16,18,18
20232024,2,NJD,Eastern,Metropolitan,23,13,7,82,-19,-0.232,283,264,3.220,39,5,0.494,81,33,38,0.402,2,0,0.463,38,-22,151,129,21,3,37,14,17,17,3,132,135,18,2,44,19,21,21
20232024,2,CGY,Western,Pacific,24,11,5,82,-18,-0.220,271,253,3.085,39,5,0.494,81,32,38,0.390,4,0,0.463,38,-5,130,125,19,1,43,17,21,21,-13,141,128,20,4,38,15,17,17
20232024,2,SEA,Western,Pacific,25,12,6,82,-19,-0.232,236,217,2.646,35,13,0.494,81,28,31,0.341,4,3,0.415,34,-4,117,113,18,6,40,14,15,17,-15,119,104,17,7,41,14,16,17
20232024,2,OTT,Eastern,Atlantic,26,14,7,82,-26,-0.317,281,255,3.110,41,4,0.476,78,25,32,0.305,0,5,0.451,37,-9,145,136,18,2,44,14,18,21,-17,136,119,23,2,34,11,14,16
20232024,2,ARI,Western,Central,27,13,7,82,-18,-0.220,274,256,3.122,41,5,0.470,77,28,34,0.341,0,2,0.439,36,4,132,136,19,0,44,17,21,22,-22,142,120,22,5,33,11,13,14
20232024,2,MTL,Eastern,Atlantic,28,15,8,82,-53,-0.646,289,236,2.878,36,16,0.463,76,20,26,0.244,8,4,0.366,30,-20,139,119,20,5,37,11,14,16,-33,150,117,16,11,39,9,12,14
20232024,2,CBJ,Eastern,Metropolitan,29,16,8,82,-63,-0.768,300,237,2.890,43,12,0.402,66,21,24,0.256,2,3,0.329,27,-12,137,125,19,5,39,14,15,17,-51,163,112,24,7,27,7,9,10
20232024,2,ANA,Western,Pacific,30,14,7,82,-91,-1.110,295,204,2.488,50,5,0.360,59,21,26,0.256,2,1,0.329,27,-40,140,100,26,3,27,9,11,12,-51,155,104,24,2,32,12,15,15
20232024,2,CHI,Western,Central,31,15,8,82,-111,-1.354,290,179,2.183,53,6,0.317,52,17,22,0.207,1,1,0.280,23,-28,128,100,21,4,36,12,15,16,-83,162,79,32,2,16,5,7,7
20232024,2,SJS,Western,Pacific,32,16,8,82,-150,-1.829,331,181,2.207,54,9,0.287,47,14,18,0.171,5,1,0.232,19,-71,164,93,25,5,27,9,11,11,-79,167,88,29,4,20,5,7,8
