,team_id,team_code,game_num,date,goals,pim,shots,pp_perc,ppg,pp_opp,fo_win,blocked,takeaways,giveaways,hits,home_away
0,18,NSH,2022020001,2022-10-07T18:00:00Z,4,13,32,0.0,0.0,4.0,45.5,11,4,3,23,home
1,28,SJS,2022020002,2022-10-08T18:00:00Z,2,6,33,25.0,1.0,4.0,50.7,16,6,9,23,home
2,3,NYR,2022020003,2022-10-11T23:30:00Z,3,12,39,25.0,1.0,4.0,63.8,12,19,17,24,home
3,26,LAK,2022020004,2022-10-12T02:00:00Z,3,10,30,0.0,0.0,3.0,49.2,22,7,16,23,home
4,15,WSH,2022020005,2022-10-12T23:00:00Z,2,6,35,0.0,0.0,4.0,37.3,13,7,17,48,home
5,12,CAR,2022020006,2022-10-12T23:00:00Z,4,4,43,0.0,0.0,2.0,61.0,9,18,16,22,home
6,8,MTL,2022020007,2022-10-12T23:00:00Z,4,8,23,0.0,0.0,4.0,51.0,23,8,23,19,home
7,21,COL,2022020008,2022-10-13T01:30:00Z,5,11,35,66.7,4.0,6.0,38.8,12,4,6,32,home
8,24,ANA,2022020009,2022-10-13T02:00:00Z,5,15,27,66.7,2.0,3.0,57.1,16,6,10,15,home
9,22,EDM,2022020010,2022-10-13T02:00:00Z,5,16,25,75.0,3.0,4.0,47.9,16,11,17,39,home
10,5,PIT,2022020011,2022-10-13T23:00:00Z,6,12,53,33.3,2.0,6.0,58.5,15,4,6,30,home
11,4,PHI,2022020012,2022-10-13T23:00:00Z,5,8,25,33.3,1.0,3.0,39.1,28,2,14,28,home
12,7,BUF,2022020013,2022-10-13T23:00:00Z,4,8,36,0.0,0.0,4.0,44.9,11,4,9,9,home
13,2,NYI,2022020014,2022-10-13T23:30:00Z,1,12,33,33.3,1.0,3.0,58.6,25,8,20,37,home
14,10,TOR,2022020015,2022-10-13T23:30:00Z,3,10,39,33.3,1.0,3.0,53.6,17,10,15,37,home
15,18,NSH,2022020016,2022-10-14T00:30:00Z,1,13,32,0.0,0.0,5.0,50.0,7,7,8,45,home
16,30,MIN,2022020017,2022-10-14T00:00:00Z,3,19,36,25.0,1.0,4.0,50.0,13,9,6,20,home
17,20,CGY,2022020018,2022-10-14T01:30:00Z,5,12,27,40.0,2.0,5.0,58.5,10,11,10,26,home
18,54,VGK,2022020019,2022-10-14T02:00:00Z,1,4,37,0.0,0.0,3.0,49.1,19,12,11,20,home
19,26,LAK,2022020020,2022-10-14T02:30:00Z,1,21,27,20.0,1.0,5.0,57.7,9,2,12,28,home
20,29,CBJ,2022020021,2022-10-14T23:00:00Z,2,4,28,0.0,0.0,4.0,71.4,13,3,5,22,home
21,17,DET,2022020022,2022-10-14T23:00:00Z,3,6,40,0.0,0.0,3.0,41.5,16,6,12,38,home
22,52,WPG,2022020023,2022-10-15T00:00:00Z,4,4,34,33.3,1.0,3.0,50.9,13,12,17,28,home
23,28,SJS,2022020024,2022-10-15T02:30:00Z,1,11,19,0.0,0.0,5.0,47.5,22,11,6,15,home
24,7,BUF,2022020025,2022-10-15T17:00:00Z,3,16,27,0.0,0.0,4.0,52.4,13,9,3,12,home
25,4,PHI,2022020026,2022-10-15T20:00:00Z,3,17,31,20.0,1.0,5.0,48.1,14,4,6,23,home
26,6,BOS,2022020027,2022-10-15T23:00:00Z,6,13,43,33.3,1.0,3.0,55.4,13,9,7,28,home
27,1,NJD,2022020028,2022-10-15T23:00:00Z,2,12,39,0.0,0.0,3.0,54.5,11,6,13,19,home
28,15,WSH,2022020029,2022-10-15T23:00:00Z,3,13,29,50.0,1.0,2.0,40.4,15,10,10,26,home
29,10,TOR,2022020030,2022-10-15T23:00:00Z,3,4,32,50.0,1.0,2.0,49.2,14,12,14,37,home
30,5,PIT,2022020031,2022-10-15T23:00:00Z,6,8,45,50.0,2.0,4.0,61.7,13,13,13,41,home
31,2,NYI,2022020032,2022-10-15T23:30:00Z,7,10,38,0.0,0.0,4.0,56.9,20,6,19,18,home
32,19,STL,2022020033,2022-10-16T00:00:00Z,5,4,25,33.3,1.0,3.0,42.6,13,14,5,28,home
33,30,MIN,2022020034,2022-10-16T00:00:00Z,6,14,35,50.0,3.0,6.0,46.4,7,5,7,20,home
34,25,DAL,2022020035,2022-10-16T00:00:00Z,5,10,22,0.0,0.0,2.0,53.4,14,8,11,13,home
35,22,EDM,2022020036,2022-10-16T02:00:00Z,3,10,29,25.0,1.0,4.0,54.5,13,4,19,39,home
36,55,SEA,2022020037,2022-10-16T02:00:00Z,2,8,33,50.0,1.0,2.0,34.8,9,4,5,26,home
37,28,SJS,2022020038,2022-10-16T02:00:00Z,2,6,26,0.0,0.0,3.0,52.8,3,7,5,16,home
38,3,NYR,2022020039,2022-10-17T23:00:00Z,6,2,43,75.0,3.0,4.0,51.7,13,5,5,27,home
39,10,TOR,2022020040,2022-10-17T23:00:00Z,2,12,28,20.0,1.0,5.0,59.2,7,9,14,25,home
40,6,BOS,2022020041,2022-10-17T23:00:00Z,5,12,34,0.0,0.0,3.0,64.4,22,8,11,18,home
41,8,MTL,2022020042,2022-10-17T23:00:00Z,3,6,39,33.3,1.0,3.0,48.1,16,12,16,19,home
42,15,WSH,2022020043,2022-10-17T23:00:00Z,6,4,30,66.7,2.0,3.0,51.7,14,11,7,37,home
43,17,DET,2022020044,2022-10-17T23:00:00Z,4,8,33,25.0,1.0,4.0,35.5,15,4,8,29,home
44,30,MIN,2022020045,2022-10-18T00:00:00Z,3,10,39,50.0,2.0,4.0,55.2,11,4,5,20,home
45,25,DAL,2022020046,2022-10-18T00:30:00Z,4,10,29,25.0,1.0,4.0,54.9,17,5,21,12,home
46,55,SEA,2022020047,2022-10-18T02:00:00Z,1,10,23,20.0,1.0,5.0,48.3,15,6,8,18,home
47,1,NJD,2022020048,2022-10-18T23:00:00Z,4,15,41,0.0,0.0,3.0,53.7,7,8,5,26,home
48,9,OTT,2022020049,2022-10-18T23:00:00Z,7,15,31,0.0,0.0,2.0,50.0,11,6,11,33,home
49,29,CBJ,2022020050,2022-10-18T23:00:00Z,4,11,33,0.0,0.0,2.0,61.7,16,7,9,17,home
50,2,NYI,2022020051,2022-10-18T23:30:00Z,5,6,46,0.0,0.0,3.0,52.2,15,7,14,28,home
51,18,NSH,2022020052,2022-10-19T01:30:00Z,3,18,32,0.0,0.0,5.0,62.3,17,10,8,31,home
52,14,TBL,2022020053,2022-10-18T23:00:00Z,2,14,38,66.7,2.0,3.0,62.3,16,15,5,21,home
53,22,EDM,2022020054,2022-10-19T01:00:00Z,2,12,48,0.0,0.0,3.0,55.6,11,8,18,28,home
54,20,CGY,2022020055,2022-10-19T01:00:00Z,3,8,40,33.3,2.0,6.0,53.6,8,14,15,21,home
55,13,FLA,2022020056,2022-10-19T23:30:00Z,4,12,36,0.0,0.0,3.0,62.7,9,4,8,12,home
56,21,COL,2022020057,2022-10-20T00:00:00Z,3,8,33,100.0,1.0,1.0,53.8,13,5,7,26,home
57,55,SEA,2022020058,2022-10-20T02:00:00Z,3,10,35,0.0,0.0,1.0,45.5,6,5,11,17,home
58,6,BOS,2022020059,2022-10-20T23:00:00Z,1,8,36,0.0,0.0,5.0,63.6,10,8,7,23,home
59,8,MTL,2022020060,2022-10-20T23:00:00Z,6,11,30,0.0,0.0,1.0,46.7,15,4,10,13,home
60,10,TOR,2022020061,2022-10-20T23:00:00Z,3,8,43,12.5,1.0,8.0,52.1,21,17,14,31,home
61,5,PIT,2022020062,2022-10-20T23:00:00Z,6,14,34,33.3,1.0,3.0,58.2,20,15,7,35,home
62,29,CBJ,2022020063,2022-10-20T23:00:00Z,5,10,42,0.0,0.0,3.0,45.6,20,9,3,28,home
63,3,NYR,2022020064,2022-10-20T23:00:00Z,2,6,23,0.0,0.0,5.0,42.1,18,5,8,33,home
64,9,OTT,2022020065,2022-10-20T23:00:00Z,5,15,44,50.0,2.0,4.0,64.2,12,4,17,28,home
65,2,NYI,2022020066,2022-10-20T23:30:00Z,1,8,17,0.0,0.0,2.0,39.2,19,4,10,39,home
66,30,MIN,2022020067,2022-10-21T00:00:00Z,4,11,37,33.3,1.0,3.0,51.0,15,11,7,21,home
67,20,CGY,2022020068,2022-10-21T01:30:00Z,3,10,43,0.0,0.0,1.0,43.9,12,6,4,29,home
68,22,EDM,2022020069,2022-10-21T01:00:00Z,6,10,33,40.0,2.0,5.0,51.3,20,17,15,24,home
69,54,VGK,2022020070,2022-10-21T02:00:00Z,5,2,32,0.0,0.0,3.0,50.0,10,0,6,23,home
70,13,FLA,2022020071,2022-10-21T23:30:00Z,2,18,38,0.0,0.0,5.0,47.1,13,14,9,17,home
71,16,CHI,2022020072,2022-10-22T00:30:00Z,4,14,29,0.0,0.0,3.0,61.8,17,10,22,27,home
72,21,COL,2022020073,2022-10-22T01:00:00Z,2,15,20,0.0,0.0,2.0,63.2,8,12,7,37,home
73,6,BOS,2022020074,2022-10-22T17:00:00Z,4,10,43,20.0,1.0,5.0,61.0,11,4,7,24,home
74,1,NJD,2022020075,2022-10-22T17:00:00Z,2,4,36,33.3,1.0,3.0,47.6,17,5,10,25,home
75,9,OTT,2022020076,2022-10-22T20:00:00Z,6,19,32,25.0,1.0,4.0,62.5,11,7,12,28,home
76,22,EDM,2022020077,2022-10-22T20:00:00Z,0,2,23,0.0,0.0,1.0,41.9,8,7,13,29,home
77,8,MTL,2022020078,2022-10-22T23:00:00Z,2,6,34,0.0,0.0,4.0,46.6,14,11,20,26,home
78,15,WSH,2022020079,2022-10-22T23:00:00Z,4,2,32,0.0,0.0,3.0,35.7,17,6,9,32,home
79,14,TBL,2022020080,2022-10-22T23:00:00Z,5,6,26,0.0,0.0,3.0,57.4,20,13,17,29,home
80,29,CBJ,2022020081,2022-10-22T23:00:00Z,3,6,32,0.0,0.0,1.0,46.7,15,10,5,31,home
81,52,WPG,2022020082,2022-10-22T23:00:00Z,1,15,31,0.0,0.0,3.0,47.8,18,8,13,29,home
82,18,NSH,2022020083,2022-10-23T00:00:00Z,1,14,32,33.3,1.0,3.0,71.4,12,4,7,38,home
83,23,VAN,2022020084,2022-10-23T02:00:00Z,1,2,30,25.0,1.0,4.0,55.4,14,13,6,40,home
84,20,CGY,2022020085,2022-10-23T02:00:00Z,3,8,32,25.0,1.0,4.0,48.0,15,9,6,26,home
85,54,VGK,2022020086,2022-10-23T02:00:00Z,2,4,35,25.0,1.0,4.0,60.7,27,4,7,41,home
86,16,CHI,2022020087,2022-10-23T18:00:00Z,5,8,27,66.7,2.0,3.0,69.5,15,16,21,40,home
87,17,DET,2022020088,2022-10-23T21:00:00Z,5,12,41,60.0,3.0,5.0,49.2,18,6,6,27,home
88,3,NYR,2022020089,2022-10-23T21:00:00Z,1,2,31,33.3,1.0,3.0,66.7,13,5,10,26,home
89,13,FLA,2022020090,2022-10-23T21:00:00Z,3,12,32,0.0,0.0,4.0,51.0,9,7,8,9,home
90,4,PHI,2022020091,2022-10-23T23:00:00Z,0,2,30,0.0,0.0,2.0,56.7,16,4,13,32,home
91,9,OTT,2022020092,2022-10-24T23:00:00Z,4,6,32,25.0,1.0,4.0,50.0,16,9,11,33,home
92,1,NJD,2022020093,2022-10-24T23:00:00Z,3,6,41,0.0,0.0,4.0,50.7,11,5,8,13,home
93,22,EDM,2022020094,2022-10-25T00:00:00Z,6,10,47,33.3,1.0,3.0,54.0,12,20,15,27,home
94,52,WPG,2022020095,2022-10-25T00:00:00Z,4,6,43,0.0,0.0,5.0,39.6,14,6,9,39,home
95,54,VGK,2022020096,2022-10-25T02:00:00Z,3,4,33,33.3,1.0,3.0,49.1,29,14,4,34,home
96,23,VAN,2022020097,2022-10-25T02:30:00Z,2,6,16,50.0,1.0,2.0,40.0,14,2,4,27,home
97,29,CBJ,2022020098,2022-10-25T23:00:00Z,3,16,33,0.0,0.0,5.0,53.7,8,11,10,24,home
98,3,NYR,2022020099,2022-10-26T00:00:00Z,2,6,46,0.0,0.0,4.0,56.5,16,5,11,39,home
99,6,BOS,2022020100,2022-10-25T23:00:00Z,3,11,29,25.0,1.0,4.0,52.8,11,5,12,28,home
100,8,MTL,2022020101,2022-10-25T23:00:00Z,1,10,27,0.0,0.0,3.0,52.1,19,8,22,10,home
101,17,DET,2022020102,2022-10-25T23:00:00Z,2,2,22,0.0,0.0,3.0,41.4,12,3,16,29,home
102,16,CHI,2022020103,2022-10-26T00:30:00Z,4,14,22,50.0,1.0,2.0,58.3,20,8,10,29,home
103,20,CGY,2022020104,2022-10-26T01:00:00Z,4,10,36,33.3,1.0,3.0,64.1,14,11,7,18,home
104,55,SEA,2022020105,2022-10-26T02:00:00Z,5,8,24,66.7,2.0,3.0,32.7,17,10,8,15,home
105,26,LAK,2022020106,2022-10-26T02:30:00Z,4,10,33,25.0,1.0,4.0,54.9,22,1,10,28,home
106,28,SJS,2022020107,2022-10-26T02:30:00Z,2,2,31,0.0,0.0,2.0,50.8,19,13,6,23,home
107,2,NYI,2022020108,2022-10-26T23:30:00Z,3,6,29,0.0,0.0,3.0,51.0,16,10,10,35,home
108,19,STL,2022020109,2022-10-27T00:00:00Z,1,4,38,33.3,1.0,3.0,43.3,21,14,5,21,home
109,24,ANA,2022020110,2022-10-27T02:00:00Z,2,6,21,0.0,0.0,2.0,54.7,19,5,4,15,home
110,6,BOS,2022020111,2022-10-27T23:00:00Z,5,10,33,50.0,3.0,6.0,48.3,9,4,6,26,home
111,4,PHI,2022020112,2022-10-27T23:00:00Z,4,12,22,50.0,1.0,2.0,50.0,32,7,7,34,home
112,9,OTT,2022020113,2022-10-27T23:00:00Z,2,20,29,20.0,1.0,5.0,48.4,10,4,12,37,home
113,7,BUF,2022020114,2022-10-27T23:00:00Z,2,6,45,25.0,1.0,4.0,43.1,14,9,6,6,home
114,18,NSH,2022020115,2022-10-28T00:00:00Z,6,6,42,50.0,1.0,2.0,52.1,9,7,13,35,home
115,16,CHI,2022020116,2022-10-28T00:30:00Z,5,18,36,20.0,2.0,10.0,54.7,7,6,13,29,home
116,25,DAL,2022020117,2022-10-28T00:30:00Z,2,8,27,0.0,0.0,3.0,68.4,16,6,10,10,home
117,55,SEA,2022020118,2022-10-28T02:00:00Z,4,19,36,25.0,1.0,4.0,41.8,8,8,10,13,home
118,28,SJS,2022020119,2022-10-28T02:30:00Z,4,10,31,66.7,2.0,3.0,50.0,10,21,14,25,home
119,26,LAK,2022020120,2022-10-28T02:30:00Z,4,10,44,25.0,1.0,4.0,66.7,8,4,6,23,home
120,54,VGK,2022020121,2022-10-28T22:00:00Z,4,9,22,50.0,1.0,2.0,52.5,18,7,7,20,home
121,29,CBJ,2022020122,2022-10-28T23:00:00Z,0,4,30,0.0,0.0,3.0,41.8,17,10,7,18,home
122,1,NJD,2022020123,2022-10-28T23:00:00Z,1,12,23,33.3,1.0,3.0,70.8,17,14,4,11,home
123,12,CAR,2022020124,2022-10-28T23:00:00Z,2,2,35,0.0,0.0,3.0,54.0,10,17,8,22,home
124,23,VAN,2022020125,2022-10-29T02:00:00Z,5,10,29,50.0,2.0,4.0,50.9,19,4,10,23,home
125,53,ARI,2022020126,2022-10-29T02:30:00Z,2,12,21,0.0,0.0,2.0,59.3,13,6,18,33,home
126,25,DAL,2022020127,2022-10-29T18:00:00Z,3,14,33,0.0,0.0,4.0,46.2,17,5,5,13,home
