first_name,last_name,max_speed_imp,max_speed_met,avg_speed_imp,avg_speed_met,shots_over_100,shots_90_to_100,shots_80_to_90,shots_70_to_80
Kevin,Fiala,94.3,151.7611,59.1046,95.1196,0,4,39,59
Adrian,Kempe,95.3,153.3705,63.2854,101.848,0,7,111,124
Warren,Foegele,91.93,147.947,53.176,85.5784,0,1,17,34
Devon,Toews,91.56,147.3515,66.7494,107.4227,0,1,31,80
Victor,Olofsson,89.96,144.7766,60.8309,97.8978,0,0,39,61
Samuel,Girard,87.4,140.6567,63.0433,101.4583,0,0,11,29
Ross,Colton,94.11,151.4554,52.1492,83.926,0,1,8,45
Trevor,Moore,88.15,141.8637,54.7848,88.1675,0,0,21,55
Mikey,Anderson,83.11,133.7526,63.136,101.6075,0,0,8,49
Martin,Necas,93.38,150.2805,60.3288,97.0898,0,7,26,109
Cale,Makar,98.21,158.0537,70.9298,114.1505,0,16,91,257
Parker,Kelly,90.29,145.3077,54.1467,87.1406,0,1,23,37
Jack,Drury,84.39,135.8125,55.0373,88.5739,0,0,17,36
Alex,Turcotte,79.46,127.8785,41.8589,67.3654,0,0,0,7
Joel,Kiviranta,84.85,136.5528,55.1069,88.686,0,0,5,17
Quinton,Byfield,88.94,143.1351,56.4444,90.8385,0,0,38,66
Alex,Laferriere,86.97,139.9646,52.1233,83.8843,0,0,24,65
Jeff,Malott,78.82,126.8485,45.9182,73.8982,0,0,0,15
Brandt,Clarke,87.0,140.0129,61.9803,99.7477,0,0,19,71
Andrei,Kuzmenko,92.35,148.6229,53.667,86.3686,0,1,15,32
Gavin,Brindley,86.26,138.822,49.8328,80.1982,0,0,3,23
Sam,Malinski,96.79,155.7684,71.2894,114.7291,0,7,94,150
John,Tavares,88.46,142.3626,44.3311,71.344,0,0,5,37
Oliver,Ekman-Larsson,92.79,149.331,70.9427,114.1713,0,4,61,104
Chris,Tanev,79.17,127.4118,60.2,96.8825,0,0,0,2
Calle,Jarnkrok,94.51,152.0991,56.5659,91.0341,0,1,2,14
Brendan,Gallagher,83.41,134.2354,48.6217,78.2491,0,0,3,31
Morgan,Rielly,87.13,140.2221,64.2729,103.4372,0,0,9,103
Mike,Matheson,100.56,161.8356,68.0281,109.4806,1,9,44,74
Jake,McCabe,91.18,146.74,64.5138,103.8248,0,2,17,50
Josh,Anderson,87.54,140.882,50.0381,80.5285,0,0,9,21
Max,Domi,85.29,137.2609,60.1712,96.8361,0,0,17,61
William,Nylander,92.61,149.0413,58.7794,94.5963,0,3,50,54
Dakota,Joshua,80.04,128.8119,41.2518,66.3883,0,0,1,7
Jake,Evans,75.74,121.8917,45.1892,72.725,0,0,0,13
Brandon,Carlo,93.42,150.3449,66.4334,106.9141,0,3,21,28
Nicolas,Roy,81.66,131.419,44.9993,72.4193,0,0,2,15
Alexandre,Carrier,85.93,138.2909,63.1156,101.5748,0,0,3,33
Steven,Lorentz,82.54,132.8353,51.5789,83.0081,0,0,4,16
Auston,Matthews,88.35,142.1855,53.3424,85.8462,0,0,22,84
Patrik,Laine,87.83,141.3487,67.6394,108.8551,0,0,7,2
Nick,Suzuki,86.02,138.4358,56.9616,91.6708,0,0,37,94
Noah,Dobson,93.49,150.4576,67.5349,108.6868,0,2,71,120
Simon,Benoit,93.92,151.1496,67.9472,109.3504,0,4,25,34
Kirby,Dach,83.2,133.8974,46.9719,75.5939,0,0,3,15
Cole,Caufield,88.0,141.6223,55.6548,89.5677,0,0,29,96
Nicholas,Robertson,94.77,152.5175,57.1118,91.9125,0,6,19,46
Alex,Newhook,83.24,133.9618,54.3148,87.4112,0,0,6,21
Matias,Maccelli,89.42,143.9075,55.6154,89.5042,0,0,8,42
Kaiden,Guhle,87.64,141.0429,67.3091,108.3235,0,0,18,40
Bobby,McMann,89.22,143.5857,56.1806,90.4139,0,0,25,70
Matthew,Knies,87.21,140.3509,47.9034,77.0931,0,0,20,19
Zachary,Bolduc,87.82,141.3326,57.3134,92.237,0,0,16,45
Oliver,Kapanen,88.48,142.3948,50.9155,81.9405,0,0,14,28
Arber,Xhekaj,98.97,159.2768,72.2796,116.3227,0,10,21,45
Lane,Hutson,90.18,145.1306,62.0891,99.9227,0,1,10,74
Juraj,Slafkovský,86.89,139.8359,54.0766,87.0278,0,0,22,82
Ivan,Demidov,90.14,145.0663,59.9642,96.503,0,2,27,80
Alex,Ovechkin,97.3,156.5892,61.8393,99.5207,0,35,82,109
John,Carlson,99.77,160.5643,66.8344,107.5595,0,34,43,65
Nic,Dowd,82.49,132.7548,47.6065,76.6152,0,0,1,20
Sean,Kuraly,87.28,140.4635,54.6822,88.0025,0,0,8,37
Hampus,Lindholm,90.68,145.9353,68.089,109.5786,0,1,37,87
Tom,Wilson,91.2,146.7722,51.3975,82.7163,0,1,16,58
Elias,Lindholm,88.3,142.1051,52.6746,84.7716,0,0,12,47
Nikita,Zadorov,99.67,160.4033,68.8105,110.7398,0,8,42,87
Trevor,van Riemsdyk,84.14,135.4102,60.4893,97.3481,0,0,4,29
David,Pastrnak,93.06,149.7656,58.8399,94.6936,0,10,64,99
Viktor,Arvidsson,94.63,152.2922,52.4156,84.3548,0,4,24,54
Pavel,Zacha,92.95,149.5885,49.6834,79.9577,0,2,16,36
Dylan,Strome,83.88,134.9918,50.989,82.0588,0,0,6,41
Anthony,Beauvillier,83.99,135.1688,49.6247,79.8633,0,0,6,43
Matt,Roy,95.97,154.4487,65.7217,105.7689,0,6,23,55
Charlie,McAvoy,92.99,149.6529,64.597,103.9587,0,2,29,93
Jakob,Chychrun,99.06,159.4216,68.0907,109.5814,0,23,104,160
Andrew,Peeke,91.28,146.9009,64.9171,104.4739,0,1,10,62
Pierre-Luc,Dubois,86.04,138.468,51.1584,82.3314,0,0,9,6
Brandon,Duhaime,83.38,134.1871,52.7598,84.9087,0,0,5,23
Michael,Eyssimont,84.05,135.2654,53.7317,86.4728,0,0,8,40
Tanner,Jeannot,88.22,141.9763,53.5911,86.2465,0,0,11,33
Morgan,Geekie,103.03,165.8107,61.6838,99.2705,2,25,69,51
Casey,Mittelstadt,78.17,125.8024,49.2584,79.2737,0,0,0,21
Henri,Jokiharju,91.28,146.9009,68.0961,109.5901,0,1,12,41
Mark,Kastelic,92.33,148.5907,52.7922,84.9608,0,1,16,33
Martin,Fehérváry,92.67,149.1379,65.0074,104.6193,0,2,24,50
Rasmus,Sandin,90.74,146.0319,66.9202,107.6976,0,1,13,79
Connor,McMichael,91.4,147.094,51.6923,83.1906,0,1,13,42
Aliaksei,Protas,89.17,143.5052,54.2436,87.2966,0,0,29,60
Justin,Sourdif,88.88,143.0385,52.6643,84.755,0,0,15,37
Hendrix,Lapierre,84.11,135.3619,49.8966,80.3008,0,0,2,16
Marat,Khusnutdinov,82.94,133.479,46.354,74.5995,0,0,1,19
Mason,Lohrei,87.29,140.4796,66.388,106.8411,0,0,20,75
Fraser,Minten,85.2,137.1161,49.035,78.9141,0,0,6,35
Ryan,Leonard,93.94,151.1818,62.8618,101.1663,0,6,69,62
Mikael,Backlund,93.53,150.5219,53.5586,86.1942,0,6,17,39
Adam,Henrique,88.29,142.089,48.1678,77.5186,0,0,6,23
