,team_id,team_code,game_num,date,goals,pim,shots,pp_perc,ppg,pp_opp,fo_win,blocked,takeaways,giveaways,hits
54,20,CGY,2022020055,2022-10-19T01:00:00Z,3,8,40,33.3,2.0,6.0,53.6,8,14,15,21
55,13,FLA,2022020056,2022-10-19T23:30:00Z,4,12,36,0.0,0.0,3.0,62.7,9,4,8,12
56,21,COL,2022020057,2022-10-20T00:00:00Z,3,8,33,100.0,1.0,1.0,53.8,13,5,7,26
57,55,SEA,2022020058,2022-10-20T02:00:00Z,3,10,35,0.0,0.0,1.0,45.5,6,5,11,17
58,6,BOS,2022020059,2022-10-20T23:00:00Z,1,8,36,0.0,0.0,5.0,63.6,10,8,7,23
59,8,MTL,2022020060,2022-10-20T23:00:00Z,6,11,30,0.0,0.0,1.0,46.7,15,4,10,13
60,10,TOR,2022020061,2022-10-20T23:00:00Z,3,8,43,12.5,1.0,8.0,52.1,21,17,14,31
61,5,PIT,2022020062,2022-10-20T23:00:00Z,6,14,34,33.3,1.0,3.0,58.2,20,15,7,35
62,29,CBJ,2022020063,2022-10-20T23:00:00Z,5,10,42,0.0,0.0,3.0,45.6,20,9,3,28
63,3,NYR,2022020064,2022-10-20T23:00:00Z,2,6,23,0.0,0.0,5.0,42.1,18,5,8,33
64,9,OTT,2022020065,2022-10-20T23:00:00Z,5,15,44,50.0,2.0,4.0,64.2,12,4,17,28
65,2,NYI,2022020066,2022-10-20T23:30:00Z,1,8,17,0.0,0.0,2.0,39.2,19,4,10,39
66,30,MIN,2022020067,2022-10-21T00:00:00Z,4,11,37,33.3,1.0,3.0,51.0,15,11,7,21
67,20,CGY,2022020068,2022-10-21T01:30:00Z,3,10,43,0.0,0.0,1.0,43.9,12,6,4,29
68,22,EDM,2022020069,2022-10-21T01:00:00Z,6,10,33,40.0,2.0,5.0,51.3,20,17,15,24
69,54,VGK,2022020070,2022-10-21T02:00:00Z,5,2,32,0.0,0.0,3.0,50.0,10,0,6,23
70,13,FLA,2022020071,2022-10-21T23:30:00Z,2,18,38,0.0,0.0,5.0,47.1,13,14,9,17
71,16,CHI,2022020072,2022-10-22T00:30:00Z,4,14,29,0.0,0.0,3.0,61.8,17,10,22,27
72,21,COL,2022020073,2022-10-22T01:00:00Z,2,15,20,0.0,0.0,2.0,63.2,8,12,7,37
73,6,BOS,2022020074,2022-10-22T17:00:00Z,4,10,43,20.0,1.0,5.0,61.0,11,4,7,24
74,1,NJD,2022020075,2022-10-22T17:00:00Z,2,4,36,33.3,1.0,3.0,47.6,17,5,10,25
