player_id,current_team,first_name,last_name,draft_year,draft_team,draft_round,pick_in_round,pick_overall
8479423,CBJ,Alex,Nylander,2016.0,BUF,1.0,8.0,8.0
8479671,CBJ,Mathieu,Olivier,,,,,
8482705,CBJ,Cole,Sillinger,2021.0,CBJ,1.0,12.0,12.0
8480074,CBJ,Alexandre,Texier,2017.0,CBJ,2.0,14.0,45.0
8481716,CBJ,Dmitri,Voronkov,2019.0,CBJ,4.0,21.0,114.0
8474150,CGY,Mikael,Backlund,2007.0,CGY,1.0,24.0,24.0
8476399,CGY,Blake,Coleman,2011.0,NJD,3.0,14.0,75.0
8482652,CGY,Walker,Duehr,,,,,
8478421,CGY,A.J.,Greer,2015.0,COL,2.0,9.0,39.0
8476456,CGY,Jonathan,Huberdeau,2011.0,FLA,1.0,3.0,3.0
8478211,CGY,Dryden,Hunt,,,,,
8475172,CGY,Nazem,Kadri,2009.0,TOR,1.0,7.0,7.0
8483808,CGY,Andrei,Kuzmenko,,,,,
8478233,CGY,Andrew,Mangiapane,2015.0,CGY,6.0,15.0,166.0
8481028,CGY,Martin,Pospisil,2018.0,CGY,4.0,12.0,105.0
8479291,CGY,Kevin,Rooney,,,,,
8481068,CGY,Yegor,Sharangovich,2018.0,NJD,5.0,17.0,141.0
8482074,CGY,Connor,Zary,2020.0,CGY,1.0,24.0,24.0
8479315,CHI,Joey,Anderson,2016.0,NJD,3.0,12.0,73.0
8476960,CHI,Andreas,Athanasiou,2012.0,DET,4.0,19.0,110.0
8484144,CHI,Connor,Bedard,2023.0,CHI,1.0,1.0,1.0
8476278,CHI,Colin,Blackwell,2011.0,SJS,7.0,13.0,194.0
8477450,CHI,Jason,Dickinson,2013.0,DAL,1.0,29.0,29.0
8477987,CHI,Ryan,Donato,2014.0,BOS,2.0,26.0,56.0
8480025,CHI,MacKenzie,Entwistle,2017.0,ARI,3.0,7.0,69.0
8473422,CHI,Nick,Foligno,2006.0,OTT,1.0,28.0,28.0
8475791,CHI,Taylor,Hall,2010.0,EDM,1.0,1.0,1.0
8481147,CHI,Reese,Johnson,,,,,
8474870,CHI,Tyler,Johnson,,,,,
8480798,CHI,Philipp,Kurashev,2018.0,CHI,4.0,27.0,120.0
8483493,CHI,Frank,Nazar,2022.0,CHI,1.0,13.0,13.0
8479390,CHI,Taylor,Raddysh,2016.0,TBL,2.0,28.0,58.0
8482172,CHI,Landon,Slaggert,2020.0,CHI,3.0,17.0,79.0
8471699,COL,Andrew,Cogliano,2005.0,EDM,1.0,25.0,25.0
8479525,COL,Ross,Colton,2016.0,TBL,4.0,27.0,118.0
8477494,COL,Jonathan,Drouin,2013.0,TBL,1.0,3.0,3.0
8479520,COL,Brandon,Duhaime,2016.0,MIN,4.0,15.0,106.0
8482147,COL,Jean-Luc,Foudy,2020.0,COL,3.0,13.0,75.0
8481641,COL,Joel,Kiviranta,,,,,
8481042,COL,Nikolai,Kovalenko,2018.0,COL,6.0,16.0,171.0
8477476,COL,Artturi,Lehkonen,2013.0,MTL,2.0,25.0,55.0
8477492,COL,Nathan,MacKinnon,2013.0,COL,1.0,1.0,1.0
8479999,COL,Casey,Mittelstadt,2017.0,BUF,1.0,8.0,8.0
8481186,COL,Logan,O'Connor,,,,,
8478028,COL,Fredrik,Olofsson,2014.0,CHI,4.0,8.0,98.0
8470610,COL,Zach,Parise,2003.0,NJD,1.0,17.0,17.0
8478420,COL,Mikko,Rantanen,2015.0,COL,1.0,10.0,10.0
8478508,COL,Yakov,Trenin,2015.0,NSH,2.0,25.0,55.0
8479362,COL,Riley,Tufte,2016.0,DAL,1.0,25.0,25.0
8475780,COL,Chris,Wagner,2010.0,ANA,5.0,2.0,122.0
8477425,COL,Miles,Wood,2013.0,NJD,4.0,9.0,100.0
