,game_num,date,team_id,team_code,player_id,name,catches,toi,assists,goals,pim,shots,saves,pp_saves,sh_saves,ev_saves,sh_shots,ev_shots,pp_shots,decision,sv_perc,pp_sv_perc,sh_sv_perc,ev_sv_perc,home_away
27,2022020528,2022-12-23T00:00:00Z,9,OTT,8475660,Cam Talbot,L,62:04,0,0,0,40,37,2,2,33,2,35,3,L,92.5,66.66666666666666,100.0,94.28571428571428,home
28,2022020529,2022-12-23T00:00:00Z,6,BOS,8480280,Jeremy Swayman,L,59:39,0,0,0,27,25,8,0,17,0,19,8,W,92.5925925925926,100.0,NaN,89.47368421052632,home
29,2022020530,2022-12-23T03:00:00Z,23,VAN,8477484,Spencer Martin,L,63:42,0,0,0,36,31,3,0,28,0,33,3,W,86.11111111111111,100.0,NaN,84.84848484848484,home
30,2022020531,2022-12-23T03:30:00Z,26,LAK,8477831,Pheonix Copley,L,63:23,0,0,0,30,27,2,0,25,0,27,3,W,90.0,66.66666666666666,NaN,92.5925925925926,home
31,2022020532,2022-12-23T03:30:00Z,28,SJS,8473503,James Reimer,L,60:00,0,0,0,26,24,7,3,14,3,16,7,W,92.3076923076923,100.0,100.0,87.5,home
32,2022020533,2022-12-24T00:00:00Z,1,NJD,8478406,Mackenzie Blackwood,L,40:00,0,0,0,18,14,0,0,14,0,18,0,L,77.77777777777779,NaN,NaN,77.77777777777779,home
33,2022020533,2022-12-24T00:00:00Z,1,NJD,8477970,Vitek Vanecek,L,18:38,0,0,0,5,5,0,0,5,0,5,0,,100.0,NaN,NaN,100.0,home
34,2022020534,2023-02-28T00:00:00Z,9,OTT,8475660,Cam Talbot,L,60:00,0,0,0,24,22,3,0,19,0,20,4,W,91.66666666666666,75.0,NaN,95.0,home
35,2022020535,2022-12-24T00:00:00Z,12,CAR,8477293,Antti Raanta,L,59:57,0,0,0,31,26,3,2,21,4,24,3,W,83.87096774193549,100.0,50.0,87.5,home
36,2022020536,2023-03-04T17:30:00Z,7,BUF,8477480,Eric Comrie,L,59:54,0,0,0,36,33,6,2,25,3,26,7,W,91.66666666666666,85.71428571428571,66.66666666666666,96.15384615384616,home
37,2022020537,2022-12-24T00:00:00Z,15,WSH,8479292,Charlie Lindgren,R,59:36,0,0,0,26,25,3,1,21,1,22,3,W,96.15384615384616,100.0,100.0,95.45454545454545,home
38,2022020538,2022-12-24T00:30:00Z,2,NYI,8478009,Ilya Sorokin,L,60:00,0,0,0,23,22,3,4,15,4,16,3,W,95.65217391304348,100.0,100.0,93.75,home
39,2022020539,2022-12-24T01:00:00Z,18,NSH,8477424,Juuse Saros,L,64:07,0,0,0,46,43,7,0,36,0,39,7,L,93.47826086956522,100.0,NaN,92.3076923076923,home
40,2022020540,2022-12-24T01:30:00Z,16,CHI,8471774,Alex Stalock,L,60:00,0,0,0,29,27,8,1,18,1,19,9,W,93.10344827586206,88.88888888888889,100.0,94.73684210526315,home
41,2022020541,2022-12-24T01:00:00Z,25,DAL,8479979,Jake Oettinger,L,59:56,0,0,0,24,22,3,2,17,2,18,4,W,91.66666666666666,75.0,100.0,94.44444444444444,home
42,2022020542,2022-12-24T02:00:00Z,22,EDM,8479973,Stuart Skinner,L,58:01,0,0,0,29,25,5,0,20,0,23,6,L,86.20689655172413,83.33333333333334,NaN,86.95652173913044,home
43,2022020543,2022-12-24T02:30:00Z,53,ARI,8478872,Karel Vejmelka,R,65:00,0,0,0,27,26,5,2,19,2,19,6,W,96.29629629629629,83.33333333333334,100.0,100.0,home
44,2022020544,2022-12-24T03:30:00Z,24,ANA,8480843,Lukas Dostal,L,62:24,0,0,0,45,42,9,3,30,3,33,9,L,93.33333333333333,100.0,100.0,90.9090909090909,home
45,2022020545,2022-12-24T03:00:00Z,54,VGK,8480313,Logan Thompson,R,64:44,0,0,0,29,25,4,0,21,0,24,5,W,86.20689655172413,80.0,NaN,87.5,home
46,2022020546,2022-12-28T00:00:00Z,9,OTT,8475660,Cam Talbot,L,65:00,0,0,0,51,49,10,0,39,0,41,10,W,96.07843137254902,100.0,NaN,95.1219512195122,home
47,2022020547,2023-04-14T23:30:00Z,29,CBJ,8476903,Jon Gillies,L,40:00,0,0,0,27,24,0,0,24,0,27,0,L,88.88888888888889,NaN,NaN,88.88888888888889,home
