game_num,game_date,team_id,team_code,player_id,player_name,catches,toi,assists,goals,pim,shots,saves,pp_saves,sh_saves,ev_saves,sh_shots,ev_shots,pp_shots,decision,sv_perc,pp_sv_perc,sh_sv_perc,ev_sv_perc,home_away
2022020029,2022-10-15,15,WSH,8475311,Darcy Kuemper,L,60:00:00,0,0,0,22,21,5,0,16,0,17,5,W,95.45454545454544,100,,94.11764705882352,home
2022020030,2022-10-15,10,TOR,8478492,Ilya Samsonov,L,60:00:00,0,0,0,28,26,2,0,24,0,25,3,W,92.85714285714286,66.66666666666666,,96,home
2022020031,2022-10-15,5,PIT,8477465,Tristan Jarry,L,59:43:00,0,0,0,36,34,9,0,25,0,26,10,W,94.44444444444444,90,,96.15384615384616,home
2022020032,2022-10-15,2,NYI,8478009,Ilya Sorokin,L,59:52:00,0,0,0,23,22,2,0,20,0,21,2,W,95.65217391304348,100,,95.23809523809524,home
2022020033,2022-10-16,19,STL,8476412,Jordan Binnington,L,60:00:00,0,0,0,25,23,0,1,22,1,24,0,W,92,,100,91.66666666666666,home
2022020034,2022-10-16,30,MIN,8470594,Marc-Andre Fleury,L,20:00,0,0,0,14,10,6,0,4,0,7,7,,71.42857142857143,85.71428571428571,,57.14285714285714,home
2022020034,2022-10-16,30,MIN,8479406,Filip Gustavsson,L,38:20:00,1,0,0,20,17,2,1,14,1,16,3,L,85,66.66666666666666,100,87.5,home
2022020035,2022-10-16,25,DAL,8479979,Jake Oettinger,L,60:00:00,0,0,0,30,29,4,0,25,0,25,5,W,96.66666666666669,80,,100,home
2022020036,2022-10-16,22,EDM,8475789,Jack Campbell,L,10:18,0,0,0,11,7,0,0,7,0,10,1,L,63.63636363636363,0,,70,home
2022020036,2022-10-16,22,EDM,8479973,Stuart Skinner,L,48:44:00,0,0,0,31,31,7,1,23,1,23,7,,100,100,100,100,home
2022020037,2022-10-16,55,SEA,8474889,Martin Jones,L,40:00:00,0,0,0,24,19,1,0,18,0,21,3,L,79.16666666666666,33.33333333333333,,85.71428571428571,home
2022020037,2022-10-16,55,SEA,8475831,Philipp Grubauer,L,20:00,0,0,0,6,6,0,0,6,0,6,0,,100,,,100,home
2022020038,2022-10-16,28,SJS,8478039,Kaapo Kahkonen,L,59:37:00,0,0,0,25,20,2,0,18,2,21,2,L,80,100,0,85.71428571428571,home
2022020039,2022-10-17,3,NYR,8478048,Igor Shesterkin,L,60:00:00,0,0,0,22,18,2,1,15,1,19,2,W,81.81818181818183,100,100,78.94736842105263,home
2022020040,2022-10-17,10,TOR,8478902,Erik Kallgren,L,59:06:00,0,0,0,18,15,1,0,14,0,15,3,L,83.33333333333334,33.33333333333333,,93.33333333333331,home
2022020041,2022-10-17,6,BOS,8476999,Linus Ullmark,L,60:00:00,0,0,0,41,38,9,2,27,2,30,9,W,92.68292683,100,100,90,home
2022020042,2022-10-17,8,MTL,8478470,Sam Montembeault,L,62:41:00,0,0,0,28,26,3,1,22,1,24,3,W,92.85714285714286,100,100,91.66666666666666,home
2022020043,2022-10-17,15,WSH,8475311,Darcy Kuemper,L,59:46:00,0,0,0,30,26,1,0,25,0,28,2,W,86.66666666666667,50,,89.28571428571429,home
2022020044,2022-10-17,17,DET,8478024,Ville Husso,L,60:08:00,0,0,0,36,31,6,1,24,1,29,6,L,86.11111111111111,100,100,82.75862068965517,home
2022020045,2022-10-18,30,MIN,8479406,Filip Gustavsson,L,56:30:00,0,0,0,37,32,0,0,32,0,36,1,L,86.48648648648648,0,,88.88888888888889,home
2022020046,2022-10-18,25,DAL,8479979,Jake Oettinger,L,60:00:00,0,0,0,25,24,7,0,17,0,18,7,W,96,100,,94.44444444444444,home
2022020047,2022-10-18,55,SEA,8475831,Philipp Grubauer,L,60:00:00,0,0,0,34,29,6,0,23,0,26,8,L,85.29411764705883,75,,88.46153846153845,home
2022020048,2022-10-18,1,NJD,8478406,Mackenzie Blackwood,L,60:00:00,0,0,0,20,18,5,1,12,1,14,5,W,90,100,100,85.71428571428571,home
2022020049,2022-10-18,9,OTT,8476341,Anton Forsberg,L,60:00:00,0,0,0,34,29,9,0,20,0,24,10,W,85.29411764705883,90,,83.33333333333334,home
2022020050,2022-10-18,29,CBJ,8478007,Elvis Merzlikins,L,63:21:00,0,0,0,35,32,6,1,25,2,27,6,W,91.42857142857144,100,50,92.59259259,home
2022020051,2022-10-18,2,NYI,8473575,Semyon Varlamov,L,59:53:00,0,0,0,28,26,4,0,22,0,24,4,W,92.85714285714286,100,,91.66666666666666,home
2022020052,2022-10-19,18,NSH,8477424,Juuse Saros,L,64:51:00,0,0,0,35,32,10,1,21,1,23,11,L,91.42857142857144,90.90909091,100,91.30434782608695,home
2022020053,2022-10-18,14,TBL,8476883,Andrei Vasilevskiy,L,58:12:00,0,0,0,24,21,1,1,19,1,21,2,L,87.5,50,100,90.47619047619048,home
2022020054,2022-10-19,22,EDM,8479973,Stuart Skinner,L,58:04:00,0,0,0,23,20,5,0,15,0,17,6,L,86.95652173913044,83.33333333333334,,88.23529411764706,home
2022020055,2022-10-19,20,CGY,8474593,Jacob Markstrom,L,60:00:00,0,0,0,21,19,4,3,12,3,14,4,W,90.47619047619048,100,100,85.71428571428571,home
2022020056,2022-10-19,13,FLA,8475683,Sergei Bobrovsky,L,60:00:00,0,0,0,33,30,9,1,20,1,22,10,W,90.90909091,90,100,90.90909091,home
2022020057,2022-10-20,21,COL,8480382,Alexandar Georgiev,L,60:15:00,0,0,0,28,24,3,0,21,0,24,4,L,85.71428571428571,75,,87.5,home
2022020058,2022-10-20,55,SEA,8474889,Martin Jones,L,62:10:00,0,0,0,28,24,3,1,20,1,24,3,L,85.71428571428571,100,100,83.33333333333334,home
2022020059,2022-10-20,6,BOS,8476999,Linus Ullmark,L,64:43:00,0,0,0,31,30,4,2,24,2,25,4,W,96.77419355,100,100,96,home
2022020060,2022-10-20,8,MTL,8474596,Jake Allen,L,59:59:00,0,0,0,27,25,6,1,18,1,20,6,W,92.59259259,100,100,90,home
2022020061,2022-10-20,10,TOR,8478492,Ilya Samsonov,L,63:33:00,0,0,0,28,26,2,3,21,3,22,3,W,92.85714285714286,66.66666666666666,100,95.45454545454544,home
2022020062,2022-10-20,5,PIT,8477465,Tristan Jarry,L,60:00:00,0,0,0,40,39,12,0,27,0,27,13,W,97.5,92.30769231,,100,home
2022020063,2022-10-20,29,CBJ,8478007,Elvis Merzlikins,L,60:00:00,0,0,0,26,23,2,0,21,0,24,2,W,88.46153846153845,100,,87.5,home
2022020064,2022-10-20,3,NYR,8478048,Igor Shesterkin,L,60:47:00,0,0,0,27,24,2,0,22,0,24,3,L,88.88888888888889,66.66666666666666,,91.66666666666666,home
2022020065,2022-10-20,9,OTT,8476341,Anton Forsberg,L,60:00:00,0,0,0,24,22,2,0,20,0,20,4,W,91.66666666666666,50,,100,home
2022020066,2022-10-20,2,NYI,8478009,Ilya Sorokin,L,57:01:00,0,0,0,42,39,8,0,31,0,34,8,L,92.85714285714286,100,,91.17647058823528,home
2022020067,2022-10-21,30,MIN,8470594,Marc-Andre Fleury,L,62:05:00,0,0,0,26,23,6,0,17,0,20,6,W,88.46153846153845,100,,85,home
2022020068,2022-10-21,20,CGY,8478435,Dan Vladar,L,38:58:00,0,0,0,19,17,1,0,16,0,17,2,L,89.47368421052632,50,,94.11764705882352,home
2022020068,2022-10-21,20,CGY,8474593,Jacob Markstrom,L,20:00,0,0,0,12,9,1,0,8,1,10,1,,75,100,0,80,home
