player_id,games_played,goals,assists,points,gwg,ot_goals,shots,shooting_pctg,pim,plus_minus,pp_goals,pp_points,sh_goals,sh_points
8476312,79,5,26,31,2,0,128,0.039063,91,42,0,0,0,0
8476441,82,2,21,23,0,0,104,0.019231,25,14,0,3,0,1
8476455,60,14,21,35,2,0,132,0.106061,47,29,2,5,0,0
8476469,67,13,12,25,1,0,92,0.141304,30,1,1,1,4,5
8476479,75,6,11,17,1,0,91,0.065934,26,-3,0,0,1,2
8476879,82,1,8,9,0,0,59,0.016949,16,-10,0,0,0,1
8477476,70,21,27,48,0,0,153,0.137255,16,32,1,2,0,0
8477492,80,53,74,127,7,1,350,0.151429,39,57,11,30,0,0
8477501,72,17,32,49,1,0,160,0.10625,26,9,1,4,1,1
8477942,56,18,22,40,2,0,147,0.122449,34,-11,4,17,0,0
8477960,81,36,37,73,8,4,226,0.159292,58,14,4,12,0,2
8477998,68,13,4,17,5,0,105,0.12381,18,0,1,1,0,0
8478038,68,3,21,24,1,0,115,0.026087,32,37,1,1,0,0
8478109,78,13,18,31,4,0,147,0.088435,6,5,2,7,0,0
8479398,60,3,16,19,1,0,41,0.073171,23,17,0,0,0,0
8479525,73,9,15,24,2,0,153,0.058824,13,9,0,0,0,0
8479675,69,13,19,32,2,1,159,0.081761,8,0,0,1,1,2
8479998,80,4,16,20,1,0,61,0.065574,22,8,0,0,0,0
8480039,78,38,62,100,5,0,206,0.184466,30,47,9,24,0,0
8480069,75,20,59,79,4,0,199,0.100503,24,32,4,29,0,0
8480448,82,21,14,35,2,0,104,0.201923,30,18,0,0,1,1
8480835,82,10,17,27,0,0,99,0.10101,31,15,0,0,0,0
8481532,62,3,11,14,0,0,67,0.044776,21,-8,0,0,0,0
8481641,51,3,6,9,0,0,50,0.06,8,7,0,0,0,0
8482124,79,24,25,49,4,3,180,0.133333,46,-2,4,11,0,1
8482155,82,21,23,44,3,0,209,0.100478,18,3,3,5,2,2
8482408,58,3,6,9,0,0,54,0.055556,55,-9,0,0,0,0
8482730,82,8,32,40,2,0,159,0.050314,63,11,2,13,0,0
8483808,52,13,12,25,3,0,69,0.188406,16,-4,8,13,0,0
8484149,56,6,7,13,4,1,62,0.096774,8,2,0,0,0,0
8484258,82,8,32,40,1,0,164,0.04878,22,43,0,1,0,0
8475166,82,31,40,71,4,2,192,0.161458,28,-28,12,21,0,0
8475171,78,8,31,39,0,0,108,0.074074,70,-6,0,9,0,0
8475690,11,0,2,2,0,0,8,0.0,0,8,0,0,0,0
8475714,56,6,2,8,0,0,45,0.133333,8,-15,0,0,0,0
8475848,77,7,16,23,0,0,121,0.057851,39,0,2,5,0,0
8476853,78,11,25,36,2,0,141,0.078014,29,-18,1,6,0,0
8476875,78,7,30,37,3,1,114,0.061404,34,9,0,1,1,2
8476931,80,5,20,25,0,0,77,0.064935,64,3,0,0,0,0
8476981,72,14,9,23,1,0,89,0.157303,90,-4,0,0,2,4
8477503,80,12,24,36,3,1,118,0.101695,95,-29,2,8,0,0
8477939,65,30,49,79,4,3,156,0.192308,16,-14,7,22,0,0
8478057,55,10,8,18,2,0,52,0.192308,49,-2,0,0,0,0
8478133,68,12,12,24,2,1,75,0.16,28,-8,0,0,2,2
8478443,55,0,7,7,0,0,66,0.0,37,4,0,0,0,1
8478462,74,8,17,25,0,0,76,0.105263,23,0,2,2,0,1
8478851,73,7,15,22,0,0,56,0.125,34,2,0,0,0,0
8478904,71,7,11,18,0,0,70,0.1,16,-2,0,0,2,2
8479318,60,27,26,53,3,1,227,0.118943,18,-4,5,12,0,0
8479339,5,0,1,1,0,0,6,0.0,2,-3,0,0,0,0
8480018,82,29,72,101,2,1,183,0.15847,28,37,11,43,1,1
8480865,80,12,35,47,1,0,158,0.075949,34,5,2,7,0,1
8481122,73,0,6,6,0,0,60,0.0,41,-22,0,0,0,0
8481523,37,8,7,15,0,0,47,0.170213,31,-2,0,2,0,0
8481540,81,51,37,88,12,5,258,0.197674,14,29,11,29,0,0
8481582,78,16,16,32,1,0,127,0.125984,10,-13,2,4,0,0
8481618,42,13,12,25,2,1,61,0.213115,10,9,2,3,0,0
8481711,71,14,25,39,2,0,90,0.155556,16,-23,2,8,0,0
8482087,39,2,9,11,2,0,40,0.05,41,5,0,0,0,0
8482259,78,29,17,46,3,0,183,0.15847,42,-3,4,6,0,0
8482720,79,23,43,66,2,0,140,0.164286,29,-30,6,16,1,1
8482737,78,12,18,30,3,0,101,0.118812,28,-6,3,6,0,0
8482775,82,22,15,37,2,0,131,0.167939,22,4,1,1,1,3
8482964,65,1,3,4,0,0,40,0.025,116,-8,0,0,0,0
8483457,82,12,66,78,3,1,124,0.096774,34,36,2,20,0,0
8483515,82,30,43,73,4,0,180,0.166667,52,9,15,28,0,0
8484984,82,19,43,62,4,0,127,0.149606,34,3,7,20,0,0
8471214,82,32,32,64,5,0,244,0.131148,26,-5,5,19,0,0
8474590,71,14,46,60,1,0,153,0.091503,32,9,2,14,0,0
8475343,75,5,16,21,0,0,66,0.075758,73,-4,0,0,1,1
8476374,82,6,16,22,1,0,110,0.054545,41,0,0,0,0,0
8476854,67,5,21,26,2,0,100,0.05,58,3,1,4,0,0
8476880,72,30,32,62,3,0,153,0.196078,117,15,7,12,1,1
8477496,69,17,31,48,3,0,114,0.149123,38,-7,7,20,0,0
8477507,81,2,20,22,1,0,107,0.018692,152,18,0,0,0,0
8477845,68,3,11,14,2,0,44,0.068182,18,6,0,0,0,0
8477956,77,29,71,100,4,1,261,0.111111,72,4,10,33,0,0
8478042,69,25,29,54,6,0,175,0.142857,24,20,4,9,0,0
8478401,78,30,35,65,4,2,131,0.229008,28,4,11,22,0,0
8478440,80,19,39,58,2,0,143,0.132867,46,2,6,21,0,0
8478463,82,15,13,28,4,0,155,0.096774,30,7,1,1,0,1
8478911,79,2,17,19,0,0,94,0.021277,12,18,0,0,0,0
8479325,69,11,50,61,1,1,111,0.099099,62,13,2,23,0,0
8479345,80,26,34,60,8,2,221,0.117647,62,20,8,18,0,0
