player_id,games_played,avg_toi,goals,assists,points,gwg,ot_goals,shots,fo_win_pctg,pim,plus_minus,shooting_pctg,pp_goals,pp_points,sh_goals,sh_points
8478413,475,14:33,56,109,165,5,0,670,0.3333,365,12,0.08349999999999999,2,9,0,1
8476907,131,8:46,12,12,24,3,0,145,0.3423,67,3,0.0827,0,0,1,1
8484164,73,14:12,12,9,21,0,0,95,0.375,26,-6,0.1263,5,7,0,0
8480825,20,9:11,1,1,2,0,0,17,0.4598,0,-2,0.0588,0,0,0,0
8479421,109,11:58,2,9,11,0,0,69,0.375,18,0,NaN,0,0,0,0
8484221,72,13:24,14,17,31,4,0,90,NaN,22,-21,0.1555,5,11,0,0
8482953,12,6:13,0,0,0,0,0,7,0.369,4,0,0.0,0,0,0,0
8482765,52,10:49,6,5,11,0,0,51,0.0,0,-11,0.1176,1,3,0,0
8481848,8,8:05,0,0,0,0,0,7,0.22219999999999998,0,-1,0.0,0,0,0,0
8479395,173,16:30,13,29,42,2,1,185,0.5405,40,-60,0.0702,5,16,0,0
8481554,444,14:41,84,117,201,13,1,663,1.0,118,16,0.1266,12,38,0,0
8482206,13,11:45,2,0,2,1,0,11,0.4728,4,-5,0.1818,0,0,0,0
8484197,60,12:57,5,18,23,0,0,67,0.5,23,-17,0.0746,2,5,0,0
8483039,4,6:18,0,1,1,0,0,3,0.47409999999999997,0,1,NaN,0,0,0,0
8476392,845,15:08,126,168,294,21,2,1152,NaN,452,44,0.1093,6,22,12,24
8476872,745,14:27,121,168,289,11,3,1218,0.5166,428,-48,0.0993,7,18,12,25
8478062,85,18:51,4,9,13,0,0,88,0.5062,35,-29,NaN,0,0,0,0
8482165,58,19:57,4,8,12,1,0,66,NaN,28,-9,NaN,0,0,0,2
8477435,455,18:11,33,86,119,3,0,650,NaN,223,76,NaN,0,0,0,4
8478046,612,13:30,102,151,253,14,0,919,NaN,147,35,0.1109,13,35,3,3
8479533,33,11:50,1,2,3,0,0,23,0.3554,6,-5,0.0434,0,0,0,0
8482094,45,12:05,0,7,7,0,0,28,0.4391,6,-4,NaN,0,0,0,0
8482877,28,9:09,4,2,6,1,0,23,NaN,11,-2,0.1739,0,0,0,0
8475692,963,18:07,232,512,744,40,9,2045,0.0,363,48,0.1134,57,239,1,2
8475763,805,15:48,185,261,446,27,4,1648,0.384,233,-38,0.11220000000000001,33,85,10,19
8478841,107,13:41,0,14,14,0,0,68,0.4771,24,-18,NaN,0,0,0,0
8479336,339,11:16,52,37,89,9,0,520,NaN,127,-28,0.1,2,5,1,2
8482634,57,11:13,10,9,19,0,0,68,0.3246,34,5,0.147,1,3,1,1
8482858,176,18:47,14,37,51,0,0,149,0.4285,90,-12,NaN,1,9,1,1
8483432,30,11:27,3,7,10,0,0,31,NaN,4,1,0.0967,0,1,0,0
8484160,28,11:03,2,5,7,0,0,31,0.41619999999999996,4,-7,0.0645,0,3,0,0
8478173,19,9:01,1,2,3,0,0,16,0.37670000000000003,27,-5,0.0625,0,0,0,0
8480084,98,14:07,5,16,21,2,0,91,0.5,16,7,NaN,0,0,0,0
8482149,290,14:48,59,98,157,9,1,532,NaN,68,29,0.1109,14,38,0,0
8484210,54,15:51,12,15,27,3,0,78,0.34369999999999995,10,-1,0.15380000000000002,3,6,0,0
8477406,680,14:29,83,138,221,9,2,840,0.4545,227,-24,0.09880000000000001,9,19,10,18
8477149,73,7:31,3,10,13,0,0,47,0.39149999999999996,147,-9,0.0638,0,0,0,0
8479383,179,11:10,15,21,36,3,0,196,0.1666,78,-23,0.0765,0,0,1,2
8476458,916,16:15,174,327,501,25,5,1669,0.36950000000000005,646,-21,0.1042,29,116,2,6
8482209,9,13:27,0,4,4,0,0,4,0.44630000000000003,2,2,0.0,0,1,0,0
8483890,54,14:08,8,18,26,2,0,75,0.375,12,-16,0.1066,2,4,0,0
8480049,282,18:03,10,55,65,2,1,322,0.25,112,68,NaN,0,2,0,2
8481715,1,10:45,0,0,0,0,0,0,NaN,0,1,NaN,0,0,0,0
8481592,91,11:48,11,18,29,3,0,115,NaN,14,2,0.0956,2,3,0,0
8483728,10,8:43,0,1,1,0,0,9,0.42,10,-4,0.0,0,0,0,0
8481594,4,10:04,0,0,0,0,0,3,0.0,0,-1,0.0,0,0,0,0
8482941,1,7:25,0,0,0,0,0,0,0.0,0,0,NaN,0,0,0,0
8475786,711,18:38,261,234,495,37,4,1854,1.0,384,134,0.1407,57,94,8,12
8482859,122,9:48,5,6,11,2,0,75,NaN,90,-20,0.0666,0,0,0,0
8482666,45,15:50,1,11,12,0,0,53,0.4422,4,-4,NaN,0,2,0,0
8479362,28,9:03,3,1,4,1,0,18,0.49229999999999996,10,-7,0.1666,1,1,0,0
8481712,17,9:27,2,0,2,0,0,21,NaN,0,-6,0.09519999999999999,0,0,0,0
8480144,576,14:06,50,99,149,5,0,640,0.5,126,-29,0.0781,0,0,4,10
8484901,24,10:04,1,2,3,0,0,14,0.0,2,-5,0.07139999999999999,0,0,0,0
8477463,136,16:34,5,19,24,0,0,164,0.5146999999999999,59,-7,0.0304,0,0,0,1
8483398,46,14:35,2,2,4,0,0,36,0.41969999999999996,40,8,NaN,0,0,0,0
8473994,1252,17:30,414,578,992,65,12,3113,0.0,932,89,0.1329,111,271,16,30
8481609,87,13:58,5,12,17,2,0,63,NaN,22,-5,NaN,0,0,0,0
8484821,4,10:06,1,0,1,1,0,4,0.5278,10,0,0.25,0,0,0,0
8477426,537,15:22,104,110,214,14,1,929,NaN,214,-35,0.1119,18,31,3,8
8483433,6,8:26,0,0,0,0,0,6,0.6451,2,-3,NaN,0,0,0,0
8484168,13,9:14,0,2,2,0,0,6,0.5224,2,2,0.0,0,0,0,0
8483676,30,8:31,4,7,11,0,0,34,NaN,2,0,0.1176,0,3,0,0
8481591,15,10:06,0,2,2,0,0,8,0.4473,6,-5,0.0,0,1,0,0
8476867,214,10:48,15,20,35,3,0,259,0.38799999999999996,83,-18,0.0579,1,1,2,2
8484403,5,9:36,0,1,1,0,0,4,0.4482,7,-1,NaN,0,0,0,0
8484529,5,7:12,1,0,1,0,0,3,0.5206000000000001,13,1,NaN,0,0,0,0
8484255,13,7:08,1,0,1,0,0,9,NaN,2,2,0.11109999999999999,0,0,0,0
8481477,380,12:25,51,52,103,4,0,458,NaN,102,-39,0.11130000000000001,1,1,5,5
8482132,48,10:40,6,4,10,1,0,69,0.6666,14,-7,0.08689999999999999,0,0,0,0
8476979,517,18:31,47,193,240,6,2,789,0.5632,165,-17,0.059500000000000004,7,73,0,0
8482698,1,11:30,0,0,0,0,0,2,0.4285,0,-1,0.0,0,0,0,0
8483510,32,17:58,1,4,5,0,0,37,0.0,12,-6,NaN,0,1,0,0
8482785,4,10:55,1,2,3,0,0,5,0.5,0,1,0.2,0,0,0,0
8474090,741,16:08,39,107,146,3,0,821,NaN,798,-16,0.0475,3,11,2,5
8484214,3,13:46,0,0,0,0,0,6,0.47609999999999997,0,-1,NaN,0,0,0,0
8483930,49,9:34,5,4,9,0,0,38,0.5,10,-8,0.1315,2,3,0,0
8483686,15,13:03,0,1,1,0,0,11,NaN,8,2,NaN,0,0,0,0
8483567,11,12:18,0,1,1,0,0,10,0.40990000000000004,2,-1,0.0,0,0,0,0
8484262,9,11:32,1,0,1,0,0,4,NaN,6,0,NaN,0,0,0,0
8483513,47,9:38,6,2,8,1,0,39,0.20679999999999998,17,-12,0.15380000000000002,0,0,0,0
8479291,331,11:37,33,28,61,2,0,332,NaN,134,-11,0.0993,0,0,5,7
8478211,238,11:01,18,36,54,3,0,296,0.125,123,-34,0.0608,0,0,0,0
8478147,33,5:54,2,0,2,1,0,16,0.462,52,-1,NaN,0,0,0,0
8483487,32,12:37,4,5,9,0,0,48,0.3,4,-3,0.0833,0,0,0,0
8483630,43,12:14,10,3,13,2,0,66,NaN,26,-8,0.1515,4,4,0,0
8480021,126,10:49,6,10,16,1,0,153,0.44439999999999996,32,-36,0.0392,0,0,0,0
8483472,20,15:45,1,3,4,0,0,21,0.52,44,7,NaN,0,0,0,0
8484388,29,12:28,3,4,7,0,0,43,0.4497,8,1,0.0697,1,3,0,0
8481599,61,15:51,1,11,12,0,0,60,NaN,30,-4,NaN,0,3,0,0
8483463,5,10:24,0,0,0,0,0,6,0.3333,0,-6,0.0,0,0,0,0
8478502,119,12:14,3,18,21,1,0,59,NaN,140,-18,NaN,0,0,0,0
8481065,29,9:37,3,2,5,1,0,33,0.5,8,-3,0.0909,0,0,0,0
8479644,111,10:16,16,12,28,3,0,139,NaN,20,-14,0.1151,1,1,0,0
8481535,331,12:47,60,60,120,8,0,517,0.3333,135,10,0.11599999999999999,2,5,0,0
8482804,3,15:00,0,0,0,0,0,1,0.3125,0,1,NaN,0,0,0,0
8484150,35,16:12,2,5,7,0,0,35,0.4285,6,2,NaN,0,1,0,0
8481567,123,18:37,5,20,25,0,0,111,NaN,46,-49,NaN,2,4,0,0
8483841,5,8:34,0,0,0,0,0,2,NaN,2,-1,NaN,0,0,0,0
8477952,463,14:56,108,113,221,20,1,767,NaN,219,-99,0.1408,26,56,0,0
8481070,9,9:21,1,1,2,0,0,8,NaN,0,-5,0.125,0,0,0,0
8482479,1,5:12,0,0,0,0,0,0,0.4698,0,-1,NaN,0,0,0,0
8477979,310,10:49,32,50,82,3,0,338,0.41659999999999997,208,11,0.0946,2,3,0,0
8482641,45,12:31,2,6,8,0,0,35,NaN,12,-7,NaN,0,0,0,1
8482167,2,10:32,0,0,0,0,0,1,0.3593,0,0,NaN,0,0,0,0
8476952,197,9:07,13,23,36,2,0,139,NaN,85,12,0.0935,0,1,1,4
8484185,41,12:40,10,5,15,0,0,57,NaN,10,-18,0.1754,2,3,0,0
8479368,305,12:34,35,34,69,6,0,461,0.45,238,-54,0.0759,2,6,1,1
8482874,37,9:23,2,3,5,0,0,33,0.5,32,-9,0.060599999999999994,0,0,0,0
8477499,820,22:35,57,261,318,8,5,1513,0.4125,399,-169,0.037599999999999995,15,121,1,7
8481077,81,10:59,8,13,21,1,0,105,1.0,4,-16,0.0761,1,4,0,0
8481030,53,15:39,0,9,9,0,0,40,0.5,25,1,NaN,0,0,0,0
8485511,6,9:48,1,0,1,1,0,4,0.3333,2,-1,0.25,0,0,0,0
8484994,28,15:03,9,10,19,2,0,46,NaN,6,2,NaN,3,5,0,0
8484230,32,13:37,3,7,10,0,0,31,0.0,5,3,0.0967,0,0,0,1
8479388,167,15:28,4,22,26,1,0,157,NaN,111,-19,NaN,0,0,0,0
8482781,1,10:16,0,0,0,0,0,1,0.2857,0,1,NaN,0,0,0,0
8477021,639,14:56,105,200,305,9,0,835,NaN,223,-9,0.1257,14,55,6,12
8484142,43,13:24,5,12,17,0,0,43,NaN,16,-6,0.1162,1,4,0,0
8483491,52,10:33,5,8,13,0,0,56,0.47909999999999997,8,-2,0.0892,0,2,0,0
8482673,2,5:58,0,0,0,0,0,3,0.38880000000000003,0,-1,NaN,0,0,0,0
8482168,2,11:30,0,1,1,0,0,1,0.0,0,1,NaN,0,0,0,0
8477034,197,17:29,4,23,27,0,0,168,NaN,77,-24,NaN,0,0,0,1
8475413,154,10:34,9,17,26,1,0,131,NaN,24,-23,0.0687,0,2,0,0
8476988,465,16:36,17,85,102,2,0,494,NaN,239,-21,NaN,1,7,0,4
8484287,9,13:29,1,0,1,0,0,8,0.4877,0,1,NaN,0,0,0,0
8477320,89,9:34,4,9,13,0,0,87,NaN,43,-13,0.045899999999999996,0,0,0,0
8481517,226,11:44,25,29,54,1,0,267,NaN,54,-31,0.09359999999999999,1,2,2,2
8482766,3,7:17,0,0,0,0,0,2,0.1,0,-1,NaN,0,0,0,0
8481732,26,9:28,2,3,5,1,0,23,0.3333,11,-7,NaN,0,0,0,0
8483406,37,9:37,4,4,8,0,0,42,NaN,7,0,0.09519999999999999,1,1,0,0
8485512,41,11:50,2,3,5,0,0,35,NaN,14,-6,0.0571,0,0,0,0
8483526,6,7:35,0,1,1,0,0,4,0.4545,0,3,0.0,0,0,0,0
8479639,115,13:55,6,16,22,1,0,182,0.5782,28,-9,0.0329,2,4,0,0
8482451,71,12:16,5,6,11,0,0,62,0.36,8,-19,0.0806,0,1,1,1
8483466,105,18:29,6,13,19,2,1,114,0.0,32,-48,NaN,0,7,0,0
8476391,31,8:21,0,2,2,0,0,19,0.4285,6,-2,0.0,0,0,0,0
8483771,19,10:24,3,2,5,0,0,15,NaN,4,-1,0.2,0,0,0,0
8480192,258,17:55,10,43,53,1,0,251,0.3225,193,25,NaN,0,0,0,0
8483766,2,10:45,0,0,0,0,0,0,0.75,0,-1,NaN,0,0,0,0
8479550,56,9:39,3,7,10,0,0,43,NaN,12,-6,0.0697,0,1,0,0
8481600,153,15:49,3,16,19,0,0,116,NaN,32,-22,NaN,0,0,0,0
8484797,9,11:55,1,3,4,0,0,15,0.47950000000000004,0,1,0.0666,0,0,0,0
8479718,72,11:52,12,7,19,0,0,89,NaN,16,-11,0.1348,4,5,0,0
8479314,673,17:56,253,417,670,27,2,1975,0.41659999999999997,738,124,0.1281,80,221,1,2
8478967,76,11:01,4,7,11,0,0,66,0.46,38,-19,0.060599999999999994,0,1,0,0
8482192,59,15:40,2,10,12,0,0,57,0.4012,33,-37,NaN,0,0,0,0
8484177,33,12:11,2,6,8,0,0,47,0.48710000000000003,14,-3,0.0425,0,0,0,0
8481028,166,12:55,13,39,52,1,0,250,NaN,210,13,0.052000000000000005,1,4,0,0
8480007,80,10:24,3,8,11,0,0,87,0.0,8,-9,0.0344,0,0,0,0
8483448,37,15:24,1,5,6,1,0,28,0.42469999999999997,6,-2,NaN,0,0,0,0
8481547,1,16:45,0,0,0,0,0,1,0.1818,0,1,NaN,0,0,0,0
8483756,23,11:26,0,4,4,0,0,32,NaN,4,0,0.0,0,0,0,0
8484509,24,10:34,2,2,4,0,0,9,NaN,6,2,0.22219999999999998,0,0,0,0
8477971,200,12:33,2,18,20,0,0,106,0.0,190,-26,NaN,0,0,0,0
