player_id,position
8473419,L
8473422,L
8473507,D
8475179,D
8475683,G
8476473,D
8476882,C
8476891,D
8477409,C
8477444,L
8477450,C
8477479,L
8477495,D
8477932,D
8477933,C
8477935,C
8477987,C
8478043,C
8478055,D
8478421,L
8478542,C
8478859,D
8479316,C
8479981,L
8480003,C
8480185,C
8480193,G
8481519,G
8481624,R
8482113,C
8482176,D
8482703,C
8482713,R
8482807,D
8482821,G
8483450,C
8483493,C
8483506,D
8484144,C
8484783,D
8471215,C
8471675,C
8471724,D
8471734,G
8474578,D
8475842,C
8476389,C
8476459,C
8476468,C
8476483,R
8477369,D
8477465,G
8477511,R
8477839,L
8478048,G
8478438,C
8478450,D
8478452,D
8478550,L
8478569,C
8478840,D
8478854,D
8478882,D
8479323,D
8479390,R
8479638,R
8480001,D
8480980,C
8481481,C
8481577,R
8481668,G
8481726,C
8482073,D
8482109,L
8482157,L
8482460,C
8482758,R
8483690,C
8484839,D
8485414,C
8470613,D
8471685,C
8474563,D
8475208,D
8475311,G
8475754,C
8475809,G
8476312,D
8476341,G
8476441,D
8476455,L
8476469,R
8476479,C
8476879,D
8477476,L
8477492,C
8477501,R
8477942,L
8477960,R
8477998,L
8478038,D
8478109,L
8479398,D
8479525,C
8479675,L
8479998,D
8480039,C
8480069,D
8480448,C
8480835,C
8481529,G
8481532,C
8481641,L
8482124,R
8482155,R
8482408,L
8482730,D
8483808,L
8484149,C
8484258,D
8475166,C
8475171,D
8475690,D
8475714,C
8475848,R
8476853,D
8476875,D
8476931,D
8476932,G
8476981,R
8477503,C
8477939,R
8478057,C
8478133,C
8478443,D
8478462,C
8478470,G
8478851,D
8478904,C
8479318,C
8479339,L
8480018,C
8480051,G
8480865,D
8481122,D
8481523,C
8481540,R
8481582,L
8481618,C
8481711,L
8482087,D
8482259,C
8482487,G
8482720,L
8482737,R
8482775,C
8482964,D
8483457,D
8483515,L
8484984,R
8471214,L
8474590,D
8475343,C
8476374,C
8476854,D
8476880,R
8476914,G
8477496,C
8477507,D
8477845,D
8477956,R
8478042,L
8478401,C
8478440,C
8478463,L
8478911,D
8479292,G
8479325,D
8479345,D
8479369,D
8479400,L
8479520,R
8479591,C
8479661,L
8479987,C
8479999,C
8480035,D
8480280,G
8480313,G
8480355,C
8480796,D
8480873,D
8481580,C
8481656,C
8482088,R
8482148,C
8482177,C
8482511,D
8483489,C
8484186,R
8474150,C
8474641,C
8475172,C
8475218,D
8475717,G
8476399,L
8476454,C
8476967,D
8477346,D
8477498,D
8477810,D
8477934,C
8477953,R
8477993,C
8478233,L
8478397,D
8478402,C
8479066,L
8479365,C
8479402,D
8479973,G
8480028,C
8480797,L
8480803,D
8480831,D
8480834,D
8480860,D
8481068,C
8481167,D
8481491,C
8481617,R
8481692,G
8482074,C
8482445,G
8482679,R
8483455,L
8483512,C
8483609,R
8484860,R
8485493,R
8475188,D
8475191,R
8475913,R
8476438,L
8476448,C
8476881,C
8476925,C
8477447,D
8477964,L
8478396,D
8478403,C
8478434,R
8478468,D
8478483,R
8478499,G
8479353,C
8480727,D
8481033,G
8481527,D
8481604,R
8481568,D
8481806,D
8475722,L
8477419,L
8477949,R
8479312,G
8479359,L
8479420,C
8479941,R
8479982,D
8480064,C
8480196,D
8480802,C
8480807,D
8480839,D
8481522,C
8481524,D
8481551,G
8481564,D
8482097,R
8482659,R
8483468,C
8474141,R
8474612,D
8475279,D
8475660,G
8476434,G
8477429,C
8477456,L
8477946,C
8478891,C
8479337,R
8479992,C
8481542,D
8481607,D
8481725,L
8482078,L
8482762,D
8483464,C
8484223,D
8484471,C
8484794,R
8473512,R
8474102,L
8474151,D
8474189,C
8475167,D
8475324,D
8476393,C
8476453,R
8476826,C
8476883,G
8476999,G
8477073,L
8477404,C
8477416,R
8477992,G
8478010,C
8478020,R
8478178,D
8478416,D
8478469,D
8478519,C
8479542,L
8480188,L
8480801,L
8480876,C
8480995,R
8481528,C
8481596,C
8481719,D
8482070,R
8482092,C
8482105,D
8482116,C
8482131,D
8482201,C
8482245,D
8482447,G
8482929,D
8483447,C
8484321,D
8475235,L
8476372,D
8476461,C
8477903,R
8477948,D
8477989,C
8478435,G
8478439,R
