player_id,games_played,games_started,wins,losses,ot_losses,goals,assist,goals_against,gaa,pim,save_pctg,shots_against,shutouts
8483203,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8485729,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8473503,539,492,232,191,67,0,3,1421,2.875392,20,0.909283,15653,32
8485473,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8477361,106,98,46,44,10,0,1,302,2.964755,2,0.902894,3110,4
8480022,4,2,0,2,0,0,0,11,5.008219,0,0.78,50,0
8484312,10,6,0,6,0,0,0,28,3.52805,0,0.88755,249,0
8481707,1,1,1,0,0,0,0,1,1.023599,0,0.965517,29,0
8482657,1,0,1,0,0,0,0,2,2.666664,0,0.857143,14,0
8483258,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8486095,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8476316,141,119,64,47,13,0,1,340,2.66432,2,0.910056,3769,6
8483575,4,4,2,2,0,0,0,10,2.531286,0,0.885057,87,1
8485545,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8481526,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8481064,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8483668,4,3,1,2,0,0,0,11,3.178678,0,0.875,88,0
8484910,2,1,0,1,0,0,0,2,1.555074,0,0.957447,47,0
8483182,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8482949,1,1,1,0,0,0,0,1,0.999997,0,0.964286,28,0
