"player_id","player_name","birth_country"
8482078,"Lucas Raymond","SWE"
8478466,"Daniel Sprong","NLD"
8480813,"Joe Veleno","CAN"
8482673,"Xavier Bourgault","CAN"
8477015,"Connor Brown","CAN"
8475842,"Sam Carrick","CAN"
8477934,"Leon Draisaitl","DEU"
8477454,"Adam Erne","USA"
8477998,"Warren Foegele","CAN"
8474040,"Sam Gagner","CAN"
8474641,"Adam Henrique","CAN"
8482077,"Dylan Holloway","CAN"
8475786,"Zach Hyman","CAN"
8477406,"Mattias Janmark","SWE"
8475169,"Evander Kane","CAN"
8481534,"Raphael Lavoie","CAN"
8478402,"Connor McDavid","CAN"
8480802,"Ryan McLeod","CAN"
8476454,"Ryan Nugent-Hopkins","CAN"
8478967,"Lane Pederson","CAN"
8470621,"Corey Perry","CAN"
8478585,"Derek Ryan","USA"
8479335,"Rasmus Asplund","SWE"
8477493,"Aleksander Barkov","FIN"
8477935,"Sam Bennett","CAN"
8476393,"Nick Cousins","CAN"
8479981,"Jonah Gadjovich","CAN"
8480825,"Patrick Giles","USA"
8479367,"William Lockwood","USA"
8479066,"Ryan Lomberg","CAN"
8478904,"Steven Lorentz","CAN"
8482113,"Anton Lundell","FIN"
8480185,"Eetu Luostarinen","FIN"
8473449,"Kyle Okposo","USA"
8477933,"Sam Reinhart","CAN"
8478542,"Evan Rodrigues","CAN"
8482713,"Mackie Samoskevich","USA"
8482088,"Justin Sourdif","CAN"
8478831,"Kevin Stenlund","SWE"
8475765,"Vladimir Tarasenko","RUS"
8479314,"Matthew Tkachuk","USA"
8477409,"Carter Verhaeghe","CAN"
8478042,"Viktor Arvidsson","SWE"
8482124,"Quinton Byfield","CAN"
8476479,"Phillip Danault","CAN"
8479400,"Pierre-Luc Dubois","CAN"
8477942,"Kevin Fiala","CHE"
8479336,"Carl Grundstrom","SWE"
8481560,"Arthur Kaliyev","UZB"
8477960,"Adrian Kempe","SWE"
8471685,"Anze Kopitar","SVN"
8482155,"Alex Laferriere","USA"
8473453,"Trevor Lewis","USA"
8481481,"Blake Lizotte","USA"
8479675,"Trevor Moore","USA"
8481557,"Matt Boldy","USA"
8478493,"Joel Eriksson Ek","SWE"
8475220,"Marcus Foligno","USA"
8477919,"Frederick Gaudreau","CAN"
8477451,"Ryan Hartman","USA"
8475149,"Marcus Johansson","SWE"
8478864,"Kirill Kaprizov","RUS"
8482177,"Marat Khusnutdinov","RUS"
8479968,"Vinni Lettieri","USA"
8481422,"Jacob Lucchini","CAN"
8483499,"Liam Ohgren","SWE"
8482079,"Marco Rossi","AUT"
8479972,"Mason Shaw","CAN"
8475692,"Mats Zuccarello","NOR"
8476981,"Josh Anderson","CAN"
8476469,"Joel Armia","FIN"
8481540,"Cole Caufield","USA"
8481523,"Kirby Dach","CAN"
8477989,"Christian Dvorak","USA"
8478133,"Jake Evans","CAN"
8475848,"Brendan Gallagher","CAN"
8481093,"Rafael Harvey-Pinard","CAN"
8481618,"Alex Newhook","CAN"
8476871,"Tanner Pearson","CAN"
8479543,"Michael Pezzetta","CAN"
8483515,"Juraj Slafkovsky","SVK"
8480018,"Nick Suzuki","CAN"
8478400,"Colin White","USA"
8481058,"Jesse Ylönen","USA"
8479414,"Nathan Bastian","CAN"
8479407,"Jesper Bratt","SWE"
8481518,"Nolan Foote","USA"
8475287,"Erik Haula","FIN"
8480002,"Nico Hischier","CHE"
8482125,"Alexander Holtz","SWE"
8481559,"Jack Hughes","USA"
8477508,"Curtis Lazar","CAN"
8477073,"Kurtis MacDermid","CAN"
8478414,"Timo Meier","CHE"
8482110,"Dawson Mercer","CAN"
8477931,"Tomas Nosek","CZE"
8476292,"Ondrej Palat","CZE"
8476919,"Chris Tierney","CAN"
8479994,"Jaret Anderson-Dolan","CAN"
8478463,"Anthony Beauvillier","CAN"
8482146,"Luke Evangelista","CAN"
8476887,"Filip Forsberg","SWE"
8479996,"Cody Glass","CAN"
8476873,"Mark Jankowski","CAN"
8477446,"Michael McCarron","USA"
8478438,"Tommy Novak","USA"
8474679,"Gustav Nyquist","SWE"
8475158,"Ryan O'Reilly","CAN"
8480748,"Kiefer Sherwood","USA"
8476925,"Colton Sissons","CAN"
8482062,"Cole Smith","USA"
8475722,"Jason Zucker","USA"
8478445,"Mathew Barzal","CAN"
8475231,"Casey Cizikas","CAN"
8473504,"Cal Clutterbuck","CAN"
8478115,"Pierre Engvall","SWE"
8477392,"Hudson Fasching","USA"
8479328,"Julien Gauthier","CAN"
8481601,"Simon Holmstrom","SWE"
8477500,"Bo Horvat","CAN"
8481016,"Ruslan Iskhakov","RUS"
8480901,"Karson Kuhlman","USA"
8475314,"Anders Lee","USA"
8481237,"Kyle MacLean","USA"
8474709,"Matt Martin","CAN"
8475754,"Brock Nelson","USA"
8476419,"Jean-Gabriel Pageau","CAN"
8475151,"Kyle Palmieri","USA"
8477314,"Brian Pinho","USA"
8480789,"Oliver Wahlstrom","USA"
8475968,"Alex Belzile","CAN"
8482132,"Brett Berard","USA"
8477320,"Anton Blidh","SWE"
8477380,"Jonny Brodzinski","USA"
8480078,"Filip Chytil","CZE"
8482157,"Will Cuylle","CAN"
8481726,"Adam Edstrom","SWE"
8476624,"Barclay Goodrow","CAN"
8481554,"Kaapo Kakko","FIN"
8475184,"Chris Kreider","USA"
8482109,"Alexis Lafrenière","CAN"
8479991,"Jake Leschyshyn","USA"
8482747,"Brennan Othmann","CAN"
8478550,"Artemi Panarin","RUS"
8475752,"Tyler Pitlick","USA"
8482460,"Matt Rempe","CAN"
8478458,"Jack Roslovic","USA"
8483669,"Adam Sykora","SVK"
8476389,"Vincent Trocheck","USA"
8476918,"Jimmy Vesey","USA"
8477505,"Alexander Wennberg","SWE"
8471218,"Blake Wheeler","USA"
8476459,"Mika Zibanejad","SWE"
8480208,"Drake Batherson","USA"
8473512,"Claude Giroux","CAN"
8482092,"Ridly Greig","CAN"
8478472,"Mathieu Joseph","CAN"
8480355,"Mark Kastelic","USA"
8479383,"Boris Katchouk","CAN"
8480448,"Parker Kelly","CAN"
8477330,"Dominik Kubalik","CZE"
8479772,"Zack MacEwen","CAN"
8480064,"Josh Norris","USA"
8481596,"Shane Pinto","USA"
8482116,"Tim Stützle","DEU"
8480801,"Brady Tkachuk","USA"
8474715,"Cam Atkinson","USA"
8480220,"Noah Cates","USA"
8476461,"Sean Couturier","USA"
8475235,"Nicolas Deslauriers","CAN"
8480797,"Joel Farabee","USA"
8482159,"Tyson Foerster","CAN"
8480028,"Morgan Frost","CAN"
8478495,"Denis Gurianov","RUS"
8477903,"Garnet Hathaway","USA"
8475793,"Ryan Johansen","CAN"
8478439,"Travis Konecny","CAN"
8476872,"Scott Laughton","CAN"
8480068,"Ryan Poehling","USA"
8480015,"Owen Tippett","CAN"
8478569,"Noel Acciari","USA"
8480205,"Emil Bemstrom","SWE"
8478047,"Michael Bunting","CAN"
8470604,"Jeff Carter","CAN"
8471675,"Sidney Crosby","CAN"
8474189,"Lars Eller","DNK"
8478424,"Jansen Harkins","USA"
8471215,"Evgeni Malkin","RUS"
8476442,"Matt Nieto","USA"
8482055,"Drew O'Connor","USA"
8479344,"Jesse Puljujarvi","SWE"
8476483,"Rickard Rakell","SWE"
8475810,"Bryan Rust","USA"
8475191,"Reilly Smith","CAN"
8482241,"Radim Zohorna","CZE"
8477930,"Pierre-Edouard Bellemare","FRA"
8482665,"Matty Beniers","USA"
8477416,"Oliver Bjorkstrand","DNK"
8477444,"Andre Burakovsky","AUT"
8474586,"Jordan Eberle","CAN"
8476826,"Yanni Gourde","CAN"
8481789,"Tye Kartye","CAN"
8477955,"Jared McCann","CAN"
8475768,"Jaden Schwartz","CAN"
8479293,"Brandon Tanev","CAN"
8475193,"Tomas Tatar","SVK"
8480009,"Eeli Tolvanen","FIN"
8479977,"Kailer Yamamoto","USA"
8477473,"Justin Bailey","USA"
8482222,"Alexander Barabanov","RUS"
8482133,"Thomas Bordeleau","USA"
8477846,"Ryan Carpenter","USA"
8474053,"Logan Couture","CAN"
8482667,"William Eklund","SWE"
8484911,"Collin Graf","USA"
8475798,"Mikael Granlund","FIN"
8474884,"Mike Hoffman","CAN"
8480011,"Klim Kostin","RUS"
8479316,"Luke Kunin","USA"
8478099,"Kevin Labanc","USA"
8479379,"Givani Smith","CAN"
8480021,"Jack Studnicka","CAN"
8481477,"Nico Sturm","DEU"
8480821,"Filip Zadina","CZE"
8480188,"Fabian Zetterlund","SWE"
8481543,"Nikita Alexandrov","DEU"
8478104,"Sammy Blais","CAN"
8477402,"Pavel Buchnevich","RUS"
8475763,"Kevin Hayes","USA"
8477953,"Kasperi Kapanen","FIN"
8479385,"Jordan Kyrou","CAN"
8482089,"Jake Neighbours","CAN"
8476438,"Brandon Saad","USA"
8475170,"Brayden Schenn","CAN"
8476897,"Oskar Sundqvist","SWE"
8480023,"Robert Thomas","CAN"
8480281,"Alexey Toropchenko","RUS"
8477573,"Nathan Walker","GBR"
8482070,"Mitchell Chaffee","USA"
8478519,"Anthony Cirelli","CAN"
8477407,"Anthony Duclair","CAN"
8479591,"Michael Eyssimont","USA"
8476822,"Luke Glendening","USA"
8479542,"Brandon Hagel","CAN"
8479661,"Tanner Jeannot","CAN"
8476453,"Nikita Kucherov","RUS"
8477353,"Tyler Motte","USA"
8477426,"Nicholas Paul","CAN"
8478010,"Brayden Point","CAN"
8477839,"Conor Sheary","USA"
8474564,"Steven Stamkos","CAN"
8475766,"Austin Watson","USA"
8481720,"Nick Abruzzese","USA"
8477479,"Tyler Bertuzzi","CAN"
8475160,"Kyle Clifford","CAN"
8480980,"Connor Dewar","CAN"
8477503,"Max Domi","CAN"
8479580,"Dylan Gambrell","USA"
8483733,"Nikita Grebenkin","RUS"
8479393,"Noah Gregor","CAN"
8480995,"Pontus Holmberg","SWE"
8475714,"Calle Jarnkrok","SWE"
8480144,"David Kampf","CZE"
8482720,"Matthew Knies","USA"
8478483,"Mitch Marner","CAN"
8479318,"Auston Matthews","USA"
8482259,"Bobby McMann","CAN"
8477939,"William Nylander","CAN"
8471817,"Ryan Reaves","CAN"
8481582,"Nicholas Robertson","USA"
8482634,"Alex Steeves","USA"
8475166,"John Tavares","CAN"
8482496,"Nils Aman","SWE"
8483395,"Arshdeep Bains","CAN"
8476927,"Teddy Blueger","LVA"
8478444,"Brock Boeser","USA"
8476858,"Phillip Di Giuseppe","CAN"
8478856,"Conor Garland","USA"
8481535,"Nils Hoglander","SWE"
8478057,"Dakota Joshua","USA"
8481024,"Linus Karlsson","SWE"
8482918,"Danila Klimovich","BLR"
8478043,"Sam Lafferty","USA"
8483476,"Jonathan Lekkerimaki","SWE"
8477496,"Elias Lindholm","SWE"
8481624,"Ilya Mikheyev","RUS"
