"game_id","h_team_id","a_team_id","game_period","time_remaining","home_def_code","event_owner_team_id","x_coord","y_coord","shot_type","score_player_id"
2024020578,24,22,1,"11:57","left",22,-62,15,"snap",8477934
2024020578,24,22,2,"10:50","right",22,62,-3,"slap",8477934
2024020579,17,15,1,"7:56","right",15,63,19,"snap",8471214
2024020582,19,7,1,"6:54","left",7,-53,0,"wrist",8479420
2024020601,22,59,3,"1:02","left",22,76,10,"wrist",8477934
2024020605,15,30,2,"4:52","left",15,40,17,"snap",8471214
2024020618,22,24,3,"1:35","left",22,74,-7,"snap",8477934
2024020620,15,3,3,"9:10","right",15,-82,-8,"backhand",8471214
2024020623,10,6,3,"15:43","right",6,55,-8,"snap",8477956
2024020623,10,6,3,"1:50","right",6,79,11,"snap",8477956
2024020631,55,22,3,"1:58","left",22,-82,2,"wrist",8477934
2024020633,6,2,3,"15:25","left",6,66,24,"slap",8477956
2024020633,6,2,3,"7:16","left",6,86,-2,"tip-in",8477956
2024020637,7,15,2,"7:11","right",7,-64,-20,"slap",8479420
2024020658,5,22,1,"7:27","left",22,-77,-6,"backhand",8477934
2024020658,5,22,2,"9:02","right",22,61,-30,"slap",8477934
2024020659,12,10,1,"12:31","right",10,59,0,"snap",8477939
2024020669,13,6,2,"3:49","left",6,-80,1,"tip-in",8477956
2024020669,13,6,4,"0:02","left",6,-53,15,"wrist",8477956
2024020679,18,15,3,"0:59","left",15,-80,1,"snap",8471214
2024020692,6,14,2,"13:55","right",6,-76,-14,"snap",8477956
2024020707,10,1,2,"13:46","left",10,61,6,"wrist",8477939
2024020707,10,1,4,"3:50","left",10,58,-4,"wrist",8477939
2024020708,9,15,4,"1:53","right",15,55,21,"snap",8471214
2024020723,9,6,1,"0:38","left",6,-58,20,"wrist",8477956
2024020726,8,10,3,"19:36","right",10,82,4,"backhand",8477939
2024020735,23,22,2,"15:59","left",22,-86,17,"wrist",8477934
2024020735,23,22,2,"6:22","left",22,-86,11,"snap",8477934
2024020740,6,28,2,"12:58","right",6,-78,10,"snap",8477956
2024020742,55,7,2,"4:22","right",7,55,-15,"wrist",8479420
2024020744,10,14,2,"6:15","left",10,61,6,"wrist",8477939
2024020754,22,15,1,"16:58","left",22,79,0,"backhand",8477934
2024020755,23,7,1,"2:26","right",7,51,-12,"wrist",8479420
2024020761,6,9,3,"0:05","left",6,37,-8,"wrist",8477956
2024020767,20,7,2,"12:42","left",7,-81,-9,"tip-in",8479420
2024020768,22,23,1,"5:39","left",22,68,-16,"snap",8477934
2024020770,55,15,3,"3:28","left",15,38,37,"wrist",8471214
2024020776,6,21,3,"0:03","left",6,33,-7,"wrist",8477956
2024020799,7,6,1,"6:21","left",7,49,-3,"slap",8479420
2024020799,7,6,2,"15:17","right",7,-76,-13,"wrist",8479420
2024020799,7,6,3,"16:47","left",7,60,-27,"wrist",8479420
2024020807,10,30,3,"11:44","right",10,-77,1,"wrist",8477939
2024020814,9,15,3,"6:59","left",15,-37,-10,"wrist",8471214
2024020819,22,17,1,"13:11","left",22,72,-18,"snap",8477934
2024020827,6,3,1,"2:51","left",6,77,5,"snap",8477956
2024020827,6,3,3,"18:39","left",6,43,-13,"slap",8477956
2024020827,6,3,3,"3:22","left",6,67,-22,"wrist",8477956
2024020831,15,52,3,"7:39","right",15,-32,11,"slap",8471214
2024020833,22,10,1,"13:28","left",10,-44,1,"snap",8477939
2024020835,7,1,1,"11:49","left",7,71,2,"wrist",8479420
2024020849,15,13,3,"0:01","right",15,-3,18,"wrist",8471214
2024020851,19,22,3,"2:14","left",22,-69,21,"snap",8477934
2024020853,20,10,2,"17:24","left",10,-65,-20,"snap",8477939
2024020853,20,10,2,"1:42","left",10,-59,-13,"wrist",8477939
2024020853,20,10,3,"0:44","right",10,61,-11,"wrist",8477939
2024020859,3,6,2,"4:57","left",6,-69,12,"wrist",8477956
2024020860,16,22,3,"11:42","right",22,66,-7,"wrist",8477934
2024020864,4,15,1,"0:53","right",15,67,-11,"snap",8471214
2024020874,22,21,1,"9:21","left",22,58,-2,"snap",8477934
2024020874,22,21,2,"4:01","right",22,-84,3,"snap",8477934
2024020892,4,22,1,"10:29","right",22,79,3,"backhand",8477934
2024020895,7,3,1,"4:28","left",7,80,0,"backhand",8479420
2024020895,7,3,3,"16:13","left",7,45,28,"wrist",8479420
2024020906,15,22,1,"18:18","right",22,79,-21,"snap",8477934
2024020906,15,22,2,"11:07","left",15,49,-6,"snap",8471214
2024020906,15,22,2,"1:21","left",15,65,29,"slap",8471214
2024020906,15,22,3,"2:38","right",15,49,7,"snap",8471214
