"game_id","game_period","event_id","time_in_period","time_remaining","situation_code","home_def_code","type_code","event_name","event_owner_team_id","zone_code","x_coord","y_coord","shot_type","goalie_in_id","score_player_id","score_player_total","assist_1_player_id","assist_1_player_total","assist_2_player_id","assist_2_player_total","away_score","home_score","video_link"
2024020151,1,172,"3:23","16:37",1551,"right",505,"goal",15,"O",-56,-15,"wrist",8476883,8471214,3,8478440,7,8481656,4,0,1,"https://nhl.com/video/nyr-wsh-ovechkin-scores-goal-against-igor-shesterkin-6363949589112"
2024020151,1,58,"5:10","14:50",1551,"right",505,"goal",15,"O",-79,-6,"snap",8477424,8471214,4,8481656,5,8478440,8,1,2,"https://nhl.com/video/nyr-wsh-ovechkin-scores-ppg-against-igor-shesterkin-6363951118112"
2024020864,1,407,"19:07","0:53",1551,"right",505,"goal",15,"O",67,-11,"snap",8480843,8471214,26,8480796,12,8478440,37,1,1,"https://nhl.com/video/wsh-phi-ovechkin-scores-goal-against-ivan-fedotov-6368403407112"
2024020849,3,501,"19:59","0:01",651,"right",505,"goal",15,"N",-3,18,"wrist",8477967,8471214,NULL,8480796,11,8475343,10,3,6,NULL
2024020164,3,1089,"12:27","7:33",1551,"right",505,"goal",15,"O",-85,-11,"snap",8482446,8471214,5,8481656,6,8478440,10,3,6,"https://nhl.com/video/mtl-wsh-ovechkin-scores-goal-against-cayden-primeau-6364061889112"
2024021311,2,825,"16:56","3:04",1541,"right",505,"goal",15,"O",48,22,"slap",8481519,8471214,44,8478440,53,8479400,46,2,3,"https://nhl.com/video/wsh-pit-ovechkin-scores-goal-against-alex-nedeljkovic-6371624550112"
2024021281,1,111,"1:10","18:50",1551,"right",505,"goal",15,"O",-63,11,"slap",8475809,8471214,43,8478440,52,NULL,NULL,0,1,"https://nhl.com/video/cbj-wsh-ovechkin-scores-goal-against-jet-greaves-6371451891112"
2024020177,1,317,"14:34","5:26",1551,"right",505,"goal",15,"O",-43,-25,"slap",8477424,8471214,6,8478440,12,8481656,7,0,4,"https://nhl.com/video/cbj-wsh-ovechkin-scores-goal-against-daniil-tarasov-6364129321112"
2024020188,1,445,"19:16","0:44",1531,"right",505,"goal",15,"O",63,25,"slap",NULL,8471214,7,8474590,7,8478440,13,1,1,"https://nhl.com/video/alex-ovechkin-with-a-powerplay-goal-vs-carolina-hurricanes-6364159385112"
2024020831,3,973,"12:21","7:39",1551,"right",505,"goal",15,"O",-32,11,"slap",8481692,8471214,24,8476880,17,8478911,13,4,4,"https://nhl.com/video/wpg-wsh-ovechkin-scores-goal-against-connor-hellebuyck-6368142331112"
2024021182,1,364,"15:43","4:17",1541,"left",505,"goal",15,"O",-82,-5,"wrist",8481035,8471214,38,8478440,48,8474590,42,2,0,"https://nhl.com/video/wsh-bos-ovechkin-scores-goal-against-jeremy-swayman-6370898471112"
2024020814,3,997,"13:01","6:59",1541,"left",505,"goal",15,"O",-37,-10,"wrist",8480382,8471214,23,8481656,22,8481580,20,3,4,"https://nhl.com/video/wsh-ott-ovechkin-scores-goal-against-anton-forsberg-6368027422112"
2024020770,3,996,"16:32","3:28",1560,"left",505,"goal",15,"D",38,37,"wrist",8477992,8471214,NULL,8477845,14,8479345,19,3,0,NULL
2024020205,3,1015,"10:25","9:35",1551,"right",505,"goal",15,"O",-77,16,"snap",8477424,8471214,8,8478440,15,8480796,2,2,3,"https://nhl.com/video/nsh-wsh-ovechkin-scores-goal-against-juuse-saros-6364321867112"
2024020708,4,1212,"3:07","1:53",1331,"right",505,"goal",15,"O",55,21,"snap",8475831,8471214,21,8480873,14,NULL,NULL,1,0,"https://nhl.com/video/wsh-ott-ovechkin-scores-goal-against-leevi-merilainen-6367209918112"
2024020679,3,1043,"19:01","0:59",1560,"left",505,"goal",15,"O",-80,1,"snap",NULL,8471214,NULL,NULL,NULL,NULL,NULL,4,1,NULL
2024020620,3,1054,"10:50","9:10",1551,"right",505,"goal",15,"O",-82,-8,"backhand",8480843,8471214,19,8478440,32,NULL,NULL,3,5,"https://nhl.com/video/nyr-wsh-ovechkin-scores-goal-against-jonathan-quick-6366689097112"
2024021167,4,1082,"2:25","2:35",1331,"right",505,"goal",22,"O",-51,-1,"snap",8470594,8477934,51,8475784,11,NULL,NULL,2,3,"https://nhl.com/video/cgy-edm-draisaitl-scores-goal-against-dustin-wolf-6370778066112"
2024020036,3,887,"10:01","9:59",1451,"left",505,"goal",22,"O",74,12,"wrist",8481020,8477934,1,8478402,1,8476454,1,4,2,"https://nhl.com/video/chi-edm-draisaitl-scores-ppg-against-petr-mrazek-6363196849112"
